用户,是否看过,评分,评论时间,有用数,评论
法兰西胶片,看过,推荐,2019-09-26 23:08:26,831,参加了全球最早观影，憋了一礼拜，还是说点啥吧。就是大家真的都被土土的首款预告唬了，至少动作戏很过得去，三场重要打戏也是围绕李安至今不能肃清的俄狄浦斯情结来操作的（真以为他翻篇了然而并没有）。摩托战是儿子对父权的挑衅，全程TV Game范儿，就有种你丫小时候不让我打游戏我长大靠电竞赚了钱气死你的感觉，这不全是比喻，长镜头运镜，主客视角切换，确实很主机思维；第二场，教堂地窖的CQC格斗，父子正式摊牌，李安少年时代积的怨又一次大爆发，很多关节技强调了这种血肉相连的疼痛感，周围还有几百个骷髅头围着，仪式感还挺强；最后终极大战是重建父子关系，也就是说，李安自己成为父亲后，转化到他和李淳的相处模式上，他不想重演当年自己经历的创伤角色。《双子杀手》可以顺着动作戏来扒李安的自传，但史皇对此并不知情。
无耻不混蛋,看过,还行,2019-10-18 16:24:48,111,《双子杀手》最大问题是什么？是，难看！承认这部电影不好看，有这么难吗？并且，这部电影失败的锅，显然不该由安叔来背，而应该是制片人。这种题材与类型的电影，显然不适合以细腻叙事见长的李安来拍，可能随便找个擅长耍酷擅长拍爽片的B级片导演来拍，比如《疯狂的麦克斯4》导演乔治·米勒，比如《罪恶之城》导演罗伯特·罗德里格兹，都会比李安拍的更好看。而李安处理这种动作片，实在是太笨拙了。并且，在我看来，这部电影不是故事不行内容不行，而恰恰是形式不行，太乏味太平庸太无趣了。长达两小时，我们几乎看到的都是两个威尔·史密斯在全程BB，除了少数的打斗。
锐利修蕊,看过,还行,2019-09-27 17:25:30,66,其实可以预见这部电影将人群划分，一部分是了解并看完李安所有电影的观众，另一部分只想看到一部完美电影。对此我认为李安痴迷钻技术的“牛角尖”，是想让观众能彻底委身观影体验，这种全身心的浸入是一种冒险，也是一种极易产生排斥的时长限制，但用电影技法造梦，永远是身为导演毋庸置疑的信条。看完我会想到李宗盛那首《新写的旧歌》，同属创作者的“放下”，也是不同年龄感悟乐此不疲的重复频频回首，还是生而为人情感的共鸣，更是个体植入人物伪传记得出的收获。无论是早前父子三部曲的“和解”，还是之后每部电影与自己的对立与未知臣服。李安作品里完整的主题，即为一个人与这个世界的相处关系，是附属还是归顺，都在一念之间。但我还是希望拍完120帧三部曲完结篇《马尼拉之战》的导演，能重回华语系再拍电影，故事让这个时代都给你准备好了。
凹凸,看过,推荐,2019-10-09 21:42:24,726,北美影评人中意两个牛仔的你侬我侬，却无法接受两个杀手的儿女情长。也确实，把李安一以贯之的亲子关系母题，放进科幻悬疑片的外壳中，几分哲思却又带着几分拧巴。但最令我惊喜的倒是动作戏的调度，光一场摩托追逐戏就已展露宗师级的水准。至于冷幽默的部分，完全没有必要的。
愛喝可樂咖啡君,看过,还行,2019-10-12 23:49:38,121,在贴吧看到了一位大哥说，“双子杀手是史皇又一部捧儿子的失败之作…”看了半天才发现问题出在哪…
WIKI魏,看过,推荐,2019-10-10 00:25:41,719,"豆瓣超前点映，传统的“摄影机每秒撒谎24次”，感谢盗梦3D60帧的谎。正片120帧会二刷对比。#不搞科技的武指不是好导演#，这片子故事和特效都值得看。1故事：我们年轻时总想把所有事和人都看透，弄明白，不明白就慌，一慌就死磕，过来人管这死磕叫南墙和黄河。 长大了才明白，这慌就是青春，等你TM不慌了，你也就老了。但让你再活一次，相信我，这些南墙和黄河，你还是会死磕。你拽着跟我说你还年轻，没事，再过30年，你就也不照镜子了。
2特效：真人特效吓到我，上次被吓还是《爱，死亡和机器人》Love, Death & Robots。两场打斗太爽了，枪械追车和骷髅地窖肉搏，呼哧哧的能听到风那种，上次看得直往后躲还是《突袭》。这片子就是李安说的：“观影体验，远不止讲故事而已”，你不去影院会后悔。现在相当期待《马尼拉之战》Thrilla in Manila（2020）"
王大根,看过,还行,2019-10-18 18:25:51,90,第一批看120帧的人太会吹了，搞得我白白憧憬了三年。故事无聊到吐，唯一有一点点意思的地方是Benedict Wong 演的工具人飞行员还挺像真人版红猪
壹安²,看过,推荐,2019-10-10 00:26:58,512,刚看完觉得，天呐李安为什么会拍一部科幻版007？细心回顾，感觉少年派到双子这几年他都在用革新式的拍摄技术来追求一种“逼真的虚假”，就是作为“电影”的本身啊！一部电影是一个命题，但同样演绎“我和我自己的惊天动地”。摒弃更有深度的剧情是种风险行为，但也尊重李安的尝试和冒险。
白白八佰瓣,看过,推荐,2019-10-10 00:30:12,566,感谢盗梦观影团的超前点映，有幸一睹为快李安导演的120帧银幕实验第二弹，稍遗憾的是所观看的是60帧版本，画面、特别是大幅度动态场面的确和普通电影感觉不同，本片的几场动作戏可圈可点，可说是最大看点之一，高帧带来更强烈的真实感，看得人血脉偾张，年轻版的史皇带一丝CG味，看着略出戏。而本片的人文内核受有点老套的主题所累，造成后劲不足，3.5星。总之，这是李安导演在电影拍摄技术领域的又一次大胆探索，也是对商业化娱乐性、文艺性融合与类型片的不懈尝试，站着把钱挣了确实不易，衷心期待导演能为观众带来更多高水准且震撼人心的佳作。
风间隼,看过,推荐,2019-10-18 23:21:38,54,扣扳机前舔手指，京剧身段躲摩托车，锤子绞紧止血带，每一场动作戏都有新东西，了不起！凭这点，李安就比拍《聂隐娘》的侯孝贤强。铁甲人的“轻功”直接穿越《卧虎藏龙》。继《比利·林恩》之后，安叔的“高清电视美学”又上了一个新台阶，越来越接近肉眼看世界的观感，明星们那些“戏味”十足的表演却还没有跟上他的步伐，这成了影片主要的短板。还有就是反派输了不逃走非要出来参加大专辩论赛赔上性命，是个bug。说是“双子”，其实影片讲的还是“父子”，只不过从《喜宴》的“孩子你是Gay我也爱你”变成了“孩子哪怕你是克隆人……”
赏味Spencer,看过,很差,2019-10-10 23:49:02,494,这部片不是李安拍的，是他的克隆体拍的。
欢乐分裂,看过,还行,2019-10-18 14:19:24,39,开场的广角镜头+高速列车颇为惊喜，运动镜头+主观视角契合现今影像「游戏化」潮流，高亮度视效呈现的细节纤毫毕现，但这般技术加成于「电影」本身有何真正改观的意义吗。平庸甚至俗套的剧本与台词，关于克隆技术的伦理观，关于父子关系的探讨，即使放在李安自己的作品序列里，也不过重拾旧文而已；置于广泛的商业/类型片范畴，亦是平平，从《比利林恩》至今，李安突破之心可敬，然而并不能苟同。较有感触的一点:创伤/噩梦形成的所谓ghost，在互联网时代的「科学怪人」模式下，生成为实体的镜像。
同志亦凡人中文站,看过,较差,2019-10-09 15:38:32,613,看得出安叔很努力想加入一些深层次的主题了（比如父子情结科学伦理什么的），但故事连伪劣版的“谍影重重”都谈不上。什么样的智障会养一个克隆儿，然后命令这个克隆儿去杀他的本体？难道没想过见面即穿帮问题？即使以爆米花标准来衡量也属于焦糊水平，更不要说结尾还打出刺目的“李安作品”…（技术挽尊即双标，望周知）
文森特九六,看过,力荐,2019-10-05 09:51:00,973,父子伦理与时间年轮的点水探讨是习惯性策略表达，类型元素是骨骼支撑，几场动作戏继续“比利·林恩”中例如演唱会段落、战争段落等用以测试探索全新视觉革新下的场面调度、画面美学和空间运动的重置标准，是真正起点，好比那只蜜蜂，服务于主角体质制造戏剧功能倒是其次，更多的作用其实等同于比利·林恩回家后房间中的那只苍蝇。各种更加丰富的多焦点长纵深置景，光线、建筑、植被、灰尘、枪火、影子、水波都开始参与对故事情节注意力的分散抢夺，甚至表演面孔都被减龄与高帧技术多元拆解细化。九十年代的美国动作片刚刚脱离B级制作的粗糙和平面，追求更加极致丰满的全球化视角下的视听造戏，且还未被新世纪流行起来的高速剪辑摧毁流畅持续运动与充分环境感知，李安以此为材料切入，不止锤炼锻造未来前沿，挽救曾经大众影像的真切流动，更是重中之重。
