用户,是否看过,评分,评论时间,有用数,评论
Yüeh Tsu,看过,推荐,2019-12-26 14:49:35,67,拍得多工整啊，典型的灾难片推进套路！加上非常韩国的结尾煽情和精良特效，四星可以给足。韩国电影真的越来越不可小觑了。其实在灾难之后更值得玩味的是夹在剧情中强烈的政治语境。韩国对于本国实际受控于美国这件事真的耿耿于怀，已经在多部影视作品中表达了反抗。于是本片从中作梗的又是美国。当然碍于白头山与中国特殊的地理位置关系，中国也插了一脚，不过基本是从剧本层面设置小障碍这样插科打诨的剧情点，没有实质作用。最后南北韩携手重建的结局真是充满了半岛人民对统一的终极渴望……
张小北,看过,还行,2020-01-29 17:31:28,5,韩国版「战狼 2+红海行动+天火」，从类型片角度来说，编导摄录美+视效都在水准之上，应该是 4 星电影。可惜韩国类型片都有一个无解死结，就是格局问题。本片的格局问题是无解的，因为这种故事背景是韩国和半岛装不下的。所以它虽然很好看，但对韩国之外的观众来说，缺乏可信性，也就缺乏代入感。
潮涡力学,看过,较差,2019-12-21 09:19:11,31,好演员和好特效救不了差导演。节奏没有章法，剪辑莫名其妙，台词水到爆，跪求河正宇不要再接这样的片子了。
sona,看过,较差,2019-12-23 11:43:21,15,韩国可不可以不要再拍韩国的好莱坞大片了，不能在套路了，难以入戏（韩国明洞CGV）
U 兔,看过,还行,2020-02-04 22:04:16,4,特别傻的故事，对灾难和各个势力的处理有些中二。要不是为了看我河，可能三分之一就弃了。但我也感觉能够理解这片对人物的设定：反个人主义的英雄、特地塑造了原本不想有所担当的领队作为普通人的一面，既用他的弱项作为笑料，又刻意发挥他的专职强项（虽然感觉也有点牵强，但好歹态度是挺正的）。各种蠢萌被我河演出来还真是很得我心，尤其是开手铐那段前前后后太可爱了，在媳妇面前敲肚皮也很萌，感觉这片儿就该剪个我河cut，单独看看就够了。好一段时间都觉得他和李秉宪之间的化学反应不强，到了那个剧才感觉到他们之间的某种联系，最后也果真用到了。#可能是我快进了没注意，所以孩子到底是男是女……
二货云,看过,还行,2020-01-28 16:07:37,7,北京间谍不能找个国人演么，黑中国连个普通话都讲不好
小瓣生🌈,看过,还行,2020-01-27 16:48:14,1,"混合类型、多线叙事，文本过度饱和、节奏失去张弛。山火掀起的灾难一阵过眼云烟，权谋煽动的战争制造永久的地狱。在伟人坍塌之前、国家早已沉没；在火光肆虐之前、人民已经嶙峋。

更改了国籍，交换不了故土人情；沉沦在深狱，洗刷不去父爱回归。有人为一张超声波照片赴死，有人为一只粉红色发卡求生，有些昵称叫了一辈子也不足够，有些称呼不用讲出口也是值得。

接受恋恋不忘的故事悲剧收场，也接受岌岌可危的几率创造奇迹。酸涩的糖果内心保留着一丝甜，拯救世界的英雄也只是为了那张团圆温饱的餐桌。"
扰扰,看过,推荐,2020-01-09 20:38:10,38,如果说《切尔诺贝利》是满屏幕的辐射，那么《白头山》就是满银幕的火山灰，特效很逼真，视觉上很震撼。老河负责搞笑低智商，李秉宪耍酷露身手，而马东锡憨憨依旧，几句英文说的真是太棒了。相比之下，李秉宪的中文简直渣不到再渣，竟然让对着韩文猜中文，也是让人服了。秀智还是太年轻，和老河搭有点儿跳戏，且深入生活不够，演孕妻不太像。
童b,看过,较差,2019-12-24 19:24:48,8,我能说真的拍的很烂嘛……原本对韩国的灾难片抱有期待，再加上有李秉宪出演，没想到哎，编剧的无厘头，把拯救世界的希望寄托在毫无经验马上要退伍的男主身上也是醉了，阻止火山爆发既然是靠一个被捕的间谍和准备退伍的年轻人。再加上刚开始导演对火山爆发导致地震的渲染太烂了 导致观众无法共情，btw李秉宪的演技还是不错的，可惜了
glim,看过,还行,2020-02-08 21:33:16,2,李秉宪喜欢河智苑实锤了
