用户,是否看过,评分,评论时间,有用数,评论
Rui,看过,较差,2019-10-18 11:13:08,328,我就问一句，迪士尼是不是请权游的那两个编剧来写的沉睡魔咒2的剧本？？？？？？？（心疼我的38块票钱呜呜）
Saudade,看过,较差,2019-10-18 15:35:19,330,电影应该叫《我不要我妈了》。女主爱洛应该死一万次，又笨又蠢还圣母。最后死了那么多人，你说今天开心，咱结个婚吧？？冲喜吗？
暖,看过,较差,2019-10-18 14:04:15,145,迪士尼从继母皆祸害走向了父母皆祸害时代。
X教授的傻儿子,看过,还行,2019-10-16 18:36:13,123,"睡美人就负责好好睡觉吧，不要醒过来坑妈~
btw，朱莉美哭我，让我原谅了整部电影的槽点，给值得一看的"
吃货F,看过,很差,2019-10-18 11:18:09,111,这片，我带着这片一定很烂的心情去看的，结果看了发现，居然烂出了新花样。有这片祭献，冰雪奇缘2一定大卖。唯一的看点是三位女神的颜值，也只能看她们的颜值和她们穿的漂亮衣服。看片过程不要带脑，不要想第一部的设定，不然处处都是硬伤，想看百合的也收收心，别吃的满口玻璃渣。全员演技统统不及格，人设崩坏严重，奥罗拉公主是花瓶弱智无能还白眼狼。魔女就个无口的盾勇男主，从头虐到尾爽不到三秒就被女儿拖累自爆，养这闺女图个啥。女反派就是行走凹造型机，除了她真爱不是老公这点有意思外，玛丽苏文里的典型女二和恶婆婆，为坏而坏。这片最可怕的还是断裂感，很多情节感觉都不是发生在一个空间和时间线里的，刚还要杀个你死我活的人们下一秒双双洗白然后手拉手唱友谊万岁…这剧本是一个人写的么，我知道这是童话，但是不代表可以这么不要脸的硬
Y,看过,很差,2019-10-18 21:56:10,67,此片全程可@迷惑行为大赏，甚至连后妈的美貌也很迷惑，为什么她可以美成这个亚子，how？？？why？？？我好迷惑，我真的好迷惑
突然粉碎,看过,还行,2019-10-18 01:29:32,79,从此再无睡美人，只有致命女人，范宁妹子可可爱爱，朱莉和菲佛才是仙女，迪爸爸把童话拍成了寓言，不得不服
Gnossiennes,看过,还行,2019-10-18 20:04:42,80,全片高光时刻只有凤凰涅槃和蓝果仙子在管风琴里的绽放，剧情真的就只是狗血吧，回归暗夜族就只是被救、再被救然后对人类改观追求和平共处这点作用吧，国王真是傻乎乎，你老婆根本就是暗恋她哥啊你看不出来吗？玛琳菲森挡箭化迪士尼灰的时候边上的人一直在爆粗骂爱洛，我特么能说啥，你是对的。
GA,看过,较差,2019-10-18 15:24:05,109,迪士尼你放弃证明自己不肤浅好不好
淋,看过,较差,2019-10-19 17:44:48,124,蠢是公主的原罪
在玩手机的人,看过,力荐,2019-10-19 07:58:52,54,终极赢家是国王，睡一觉醒来什么都解决了
哪吒小丸子,看过,较差,2019-10-18 17:05:59,110,精妙绝伦，邻座高中生都看哭了！郭敬明在家循环观看爵迹并留下眼泪“我们差了什么，不就那点破技术么！”
胡不归,看过,还行,2019-10-16 19:11:52,54,我反复告诉自己这不是《阿凡达》，但这部电影还真就讲了这么一个俗套故事：以贪婪的皇后为代表的人类企图占领潘多拉…哦不，是精灵族的森林，发动了战争，对方部落奋起反抗，双方各有死伤，沉睡的凤凰在危急关头拯救世界。于是世界和平，王子亲吻了公主。片中皇后对着镜头说：“这又不是童话故事”，哦不，这还真就是个俗套的童话故事。期待中的暗黑感没有出现，特效也还行吧。希望把导演换成蒂姆伯顿～
Repulsion,看过,较差,2019-10-18 09:55:38,72,睡国王之烂梗大合集，一根针头反复使用很不卫生，管风琴里的仙子和变成树变成蒲公英的精灵没人管了。把皇后变成山羊可以和叼着耳机流泪竞选年度最搞笑镜头。好些镜头只是为了剪进预告片里好看才拍的吧？总之废戏很多。这样的剧本也能拍，开始担心花木兰……
