用户,是否看过,评分,评论时间,有用数,评论
大奇特(Grinch),看过,还行,2019-09-28 15:07:36,921,两星半，事件本身其实拍得还挺标准，在国内这类片里拔尖了。可是无论是对比《萨利机长》还是《迫降航班》，中国机长的人物塑造都趋于扁平了，为撑时长前后加了不少交代群像和结果的戏，显得又散又长。这就是硬件达标软件废，指望刘伟强拍成《萨利机长》是不可能的，他参照最多的应该是《国际机场1970》。不过这样的影片对广大人民群众了解民航各岗位职能，还能对航空安全起到普及作用，这点比机上的安全须知管用。
王食欲,看过,还行,2019-09-28 22:52:26,957,人物都很扁平。
呵呵倩,看过,还行,2019-09-30 18:14:51,611,事实证明，于东说不想让大家觉得这是中国版萨利机长的说法，是提前给打预防针啊，因为两者差距实在有点大。片子全程紧张是紧张，但结局太平了，还有关晓彤那条线是硬加的吗？？？
团小纸,看过,推荐,2019-09-29 00:21:26,702,现在中国电影太懂我的泪点在哪了，我没觉得自己该哭，但就是眼泪止不住的流，我对大飞机向来有偏爱，这种人类战胜命运的事情多少次看我都会哭。袁泉真的是女神，狭小空间的演技秒杀一切。
二十二岛主,看过,较差,2019-09-30 00:03:02,1397,只能算是半出好戏，优点和缺点都很明显。迫降戏拍的很刺激，可惜占比太少；演员表演不错，可惜部分角色设计实在太刻意脸谱化；就连灾难片的主题也被打擦边球地变成了“民航英雄赞歌”。花了大量的篇幅和笔墨来展现民航人的一天，还好拍的比较轻松扎实，不然简直和民航工作人员纪录片没有区别。“中国骄傲”这三部曲有一个通病，就是非要把伟光正的人物生活化，偏偏加入的很多生活戏非常鸡肋，使得人物形象更加拧巴，比如这部中机长的家庭线真是冗长又无趣，最该展现的他身处难中时家人们的反应倒是一笔带过。除此之外，袁泉等主要人物线索中断、乘客们完全成为道具、欧豪受伤后还能油腔滑调地插科打诨等bug比比皆是。如果最后真能逆袭成为国庆档冠军，也没什么值得骄傲的。
影志,看过,推荐,2019-09-26 01:00:13,418,原来登机前机组人员有这么多检查和准备工作，低估了空姐“端茶送水”的日常。全方位的乘机流程、空中和地勤服务展现，的确是新鲜又亲切的体验，有序规范的全配套操作和细节流程，看的好舒爽。毕竟曾经也梦想过做飞机餐饮收纳工作，哈哈哈…40分钟后的空中险情，对于经历颠簸都心有余悸的人来说，简直就是接近纪实的灾难还原。贴身体验和观赏性是它最吸引人的地方。映前贴片增加的“角色、故事经过戏剧化处理”也算聪明之举。敬畏生命、职责和规章，后半段好几处戳中泪点。最后机长和乘务长在机舱内享受片刻的安静，跟前面的备降危机形成巨大落差和对比，反而达到情绪顶峰…机组人员的临危不惧、沉着冷静和认真负责，更让人心疼。“当你认为没有错的时候，错就会来找你”
斯齊佐飛力尼克,看过,还行,2019-09-28 20:56:31,555,主要是感到惋惜，典型的画蛇添足，好好的题材非要把刀架在脖子上让你喊口号。刘伟强想要描画众生相，但这导演水准把众生相的展示几乎沦为填充时长的黑心棉了。
王大根,看过,较差,2019-09-30 17:45:12,1025,110分钟时长=35分钟登机发饭上厕所+45分钟飞机遇难机长带领机组成功返航+30分钟热烈庆祝劫后余生，而中间那45分钟有35分钟=15分钟乘客摇摇晃晃好恐慌+15分钟地面人员满脸担忧但是毫无用处地望着屏幕+5分钟以关晓彤为代表的航空爱好者不知道出来干什么，所以你算算看留着塑造机长这个人物的时间还有多少长……千言万语只能汇成一句：《萨利机长》真是部好电影啊！
一口吃掉小蛋糕,看过,力荐,2019-09-27 18:07:32,891,袁泉也太好了吧！最惊险的就是欧豪那部分了看着肉疼。就是完全搞不懂，关晓彤是干嘛的，以及一句台词都没有的AB是P上去的吗？还是用来凑片长的？？？最后大合唱突然变成同期声是什么鬼，不能降噪吗？太不协调了。
冥想高潮,看过,还行,2019-09-29 08:07:26,563,30分钟的版本应该还不错
