用户,是否看过,评分,评论时间,有用数,评论
AlanX,看过,力荐,2020-02-24 00:08:50,13,在真正找到爱之前也许不只会搞砸一次，但只要是真爱，就算每一次都搞砸，总会再一次坚持来弥补，来证明我愿意，你值得。（情人节上映的电影就该有这样的HE，虽然剧情确实是硬伤，但甜就够了）
飞驰吧江江,看过,力荐,2020-02-22 01:12:15,7,I lost U twice. 爆哭
ryan,看过,还行,2020-02-25 13:36:45,1,7分吧  整体蛮好看 就是一些自己作死的问题 还有最后为了逆转而制造的矛盾实在是太可怕了 转折这么生硬 头皮都麻掉了...
钱串子,看过,还行,2020-03-05 04:20:36,0,bl小甜饼，就那种套路同人文的感觉，双向暗恋，欺负到朋友变恋人，中间作啊作啊作啊作到袒露心声然后一定要公开表白哈哈哈哈哈哈哈，真的很俗哈哈不过bgm配的蛮好听。说起来人直接随便拍这种低成本俗套爱情小电影，而我们还在为写个同人文就被举报yhsq而吵得不可开交
勇敢的心,看过,还行,2020-02-27 22:29:28,0,1.35G。互相喑恋，帅哥是泛性恋和其龟蜜也上床，最后利用婚礼助攻，帅哥也放弃了去外地工作的机会，两人最后在一起。
那个尼克Clémtt,看过,还行,2020-02-28 22:45:55,1,花栗鼠🐿️
锌原子Scarlet,看过,很差,2020-02-23 16:56:50,3,剧本稀巴烂是原罪…灵魂角色男二油腻演技也太拖油瓶…主创们的糟糕演绎没法把这部及格线上下波动的片拉到及格线上
埃蘭迪爾,看过,还行,2020-02-28 12:02:30,1,男二的脸部表情真的很欠打，虽然肉体美好！两人的感情铺垫太少了，搞出些支线干嘛！唯一演得不错的就是Sam了，水汪汪的眼睛很动人。结尾的糖是羡慕死人了，好美好美的感情喔∼∼∼
不姨妈的大白色,看过,还行,2020-02-27 00:51:08,1,哦！这对可爱的小甜饼颜值也忒高了！可爱的小家伙们。
风舞狂澜,看过,推荐,2020-03-08 20:41:35,0,啊啊啊啊，里面的小攻好帅啊，又帅又撩，让谁能hold住啊～～～我喜欢朋友变爱人，甜甜的剧，最后小攻表白也很甜～～
雅车棋子,看过,还行,2020-02-28 00:32:42,0,真是陈腔烂调一箩筐啊。
深水怪,看过,还行,2020-02-28 21:07:43,0,同志不容易
雨夜飞行,看过,较差,2020-02-27 12:47:22,4,💩里有糖，这种情况我真的吃不下啊！看到最后， 我都开始期盼男主手撕渣男，大闹闺蜜婚礼现场了。标着喜剧，结果看的我一肚子气
达多哥,看过,还行,2020-03-01 10:31:04,0,蛮甜的 开开心心看一部电影就好了不是吗
木·子鱼,看过,还行,2020-02-28 20:55:15,0,剧情太拖了
budaphin,看过,推荐,2020-03-03 22:02:29,0,Damn海报也太丑了！比我想象的纯情很多，也自然很多，是非常basic的情感讨论，前面比后面好看。
考拉先生,看过,较差,2020-03-04 14:55:15,0,拿来拍MV都嫌长 3/10
魔力水族,看过,还行,2020-02-28 20:57:06,0,emmmmm，一言难尽
schwartz_man,看过,较差,2020-03-01 01:57:55,1,同志版的《当哈利遇到莎莉》。只想说杰克博尔利的眼睛太纯了。
𓅪 𓅭 𓅮,看过,还行,2020-02-29 23:58:55,0,可能真是情人节特供吧，结局突然甜腻，让人想问两人中途兜来绕去到底在干什么呢
六条叔叔,看过,还行,2020-03-04 16:23:20,0,太甜了！太甜了！各种高能暧昧，最后强势发糖！这让单身狗如何是好啊！男二的颜值和身材都是极品，如果给我遇到了，哪有这么多乱七八糟的，旅馆的第一晚第一个话题聊完我就给他拿下了！
蓟门桥Charlie,看过,较差,2020-03-01 12:40:28,0,过于套路，drama太多，还是个恋爱价值观大论战，铺垫了那么多歌曲是怕观众睡着吧。
yfxlavender,看过,推荐,2020-02-29 15:08:05,0,还行吧，不至于很烂。
