用户,是否看过,评分,评论时间,有用数,评论
哪吒男,看过,还行,2019-12-10 11:06:18,32,纽约的下雨天逛博物馆听爵士乐是世界上最美好的事情，比跟天才导演侃大山轻松，比偶遇娱乐圈绯闻愉悦，比和性感男神偷情自如，“这个城市自已他的安排”，走在雨中，身轻如风。
Estrella,看过,推荐,2019-08-24 23:04:34,235,我以为我已经对Woody Allen免疫了 但没想到这部片还是给了我惊喜 / 甜茶不愧是甜茶 配得了意大利的阳光 也衬得起纽约的雨 弹钢琴唱歌那段好迷人！@SummerIFF
糯木,看过,推荐,2019-08-25 11:52:41,187,很舒服，在夏天即将结束的时候找到了一个坠入秋天的理由。又是喜欢的沉浸型电影，《CMBYN》带来一个无法忘却的夏天，《纽约》则带来一场很久后还会记起细节的雨：甜茶的毛毡西服、维托里奥的摄影色调、大雨打在透明雨伞上的声音、喋喋不休聊电影的青年、钟楼下等待某个不知道是谁也不知道是否会出现之人时的局促焦虑……全都透过伍迪·艾伦的镜头和甜茶浑然天成的演技，跳出银幕，落向观众席，让人身在电影院，却经历了这个雨天。（再次感叹甜茶演戏的悟性很高）
Gargamel,看过,很差,2019-08-21 21:15:44,224,Woody Allen是不是欠了裸贷
藿香柠檬,看过,还行,2019-10-13 21:13:34,36,伍迪艾伦每一部电影都会找一个犹太裔当红炸子鸡穿上羊毛呢子大衣，前伸着脖子驮着背，絮絮叨叨地扮演六十年代的他自己，只不过帅点，头发多点。目前学得最像的还是艾森伯格。看着一群二十岁出头的孩子讨论《琪琪》《红男绿女》，在鸡尾酒酒吧喝酒，看老电影，玩扑克牌还是有点出戏，六十年代故事移花接木，好像时空静止在伍迪艾伦的电影里，到处都是自命不凡的知识分子情调，和一种早已不属于信息时代的怀旧感。这种自我重复很可悲，更可悲的是，现在我也吃这套了。
说明书,看过,较差,2019-10-04 23:28:38,29,油腻、生硬还莫名其妙
荔枝超人,看过,较差,2019-12-19 10:42:50,10,这种卡司，Woody大人也难救。整场下来似乎看了一段粗劣的Woody Allen模仿秀。
Supremacyacron,看过,还行,2019-10-03 18:47:29,23,还是伍迪艾伦的那老一套，话痨+婚外情，只不过这部的婚外情采取环环相套，绿一个再绿一个。。。甜茶那个角色最后对于真实情感的顿悟，我怎么感觉他有点渣呢。。。包办婚姻不靠谱，雨中拥吻是真爱啊。。。
顿河,看过,力荐,2019-12-18 00:07:39,22,半年里看的最开心的一部电影。喜欢所有嘲讽的刻薄与克制，喜欢最后盖茨比的挥手自兹去，得体就是最大的阶层差异。伍迪艾伦对女性是真心地轻视也是真心地喜欢。
dorayaki,看过,推荐,2019-07-10 04:18:26,78,年轻人早就写好了自己的故事 只是等一个时机 #SoiréePositif09/07/2019 巧遇流体力学老师…
罗宾汉,看过,推荐,2019-08-24 22:41:16,61,竟然跟昆汀的《好莱坞往事》有着不约而同的城市迷恋色彩。正如昆汀镜头下的洛杉矶，伍迪艾伦电影里的纽约总是闪烁着梦幻般的光彩。最近的作品《咖啡公社》《摩天轮》和这部新作，都在摄影灯光上大做文章，让人有时光倒流的错觉。然而，伍迪艾伦的心态却保持着意外的年轻与跃动，继《咖啡公社》后再度联手好莱坞时下年轻演员来演绎一出传统老套的爱情故事。一方面，伍迪成功保持着影片的商业娱乐水准，喜剧笑点编排适当，而更突出的是，他对爵士乐的钟情、电影圈百态的讽刺、上流社会的刻画，以及对爱情的偏执与幻灭等等，统统融入到他这个最爱的城市里，谱写出一篇浪漫的情书。
