用户,是否看过,评分,评论时间,有用数,评论
哼哼.floweray,看过,还行,2020-02-24 15:42:15,0,每次看到“本片源于真实案件或事件”的时候，我就知道，多半不是
Zizi在十年前,看过,还行,2020-03-09 23:56:40,0,还蛮有意思的，披着恐怖片的喜剧。
Jeannels,看过,还行,2020-02-29 00:34:23,0,谢谢导演，有被笑到。
Diva Tequila,看过,还行,2020-03-02 23:59:44,0,非常那边的风格
柯里昂,看过,还行,2019-10-19 15:18:51,0,偶有灵光一现的跨类型片，对恐怖和喜剧元素的处理还算拿捏得当。
LYOOYL,看过,推荐,2020-02-24 22:17:59,2,哈哈 很可爱很好笑的恐怖片
了花,看过,还行,2020-02-25 22:41:49,0,很有趣恐怖片的奇思妙想了
双人余六日,看过,推荐,2020-02-25 09:13:02,2,超级好笑的哈哈哈哈哈哈哈
凹凸,看过,推荐,2020-03-07 21:42:42,0,可可爱爱
ようこう,看过,还行,2020-03-06 23:16:02,0,no！
✘.,看过,还行,2020-03-01 18:03:02,0,鬼片还能这么玩，有对维迪提的模仿痕迹，可是玩得low了点。到此可止步，不然可以考虑做系列。★★★/6
RRRRRunItMeles,看过,推荐,2020-02-24 22:34:52,2,我喜欢  很可爱
LeungChanXXX,看过,推荐,2019-11-28 18:51:38,1,爱尔兰独特的冷幽默注入驱魔片产生诙谐有趣的反类型效果，甚至玩梗《驱魔人》。对Ghost的常规形象和设定进行颠覆，它可以是人类模样，也可以附身在一个烤面包机或是垃圾桶，被附身者还会吐出黏稠乳白色的“灵外质”。角色都非常讨喜，Barry Ward简直太可爱了！
.,看过,推荐,2019-11-08 17:20:30,1,3.5
Hinkly,看过,较差,2020-03-05 22:47:57,2,片如其名：极其普通
深水怪,看过,还行,2020-02-29 15:02:25,0,可以一看
大抒子,看过,还行,2020-02-29 23:18:18,1,可可爱爱的恐怖片，前半段儿还蛮好笑的
胖官赵,看过,还行,2020-02-29 13:48:51,0,结局高光，这年头没人是处女，笑死我了。再疯点就好了。
elaineOoo,看过,还行,2020-03-02 22:26:06,0,还可以啊，故事完整也有笑料
AshtrayGem,看过,力荐,2020-02-29 20:58:26,2,哈哈哈哈哈哈哈哈哈哈哈哈only the tip went in哈哈哈哈哈哈哈 No anal 哈哈哈哈哈哈哈哈特别傻逼但是很可爱的小电影，感觉特别新西兰（？）
猫小珥,看过,推荐,2020-03-10 12:24:52,0,还挺有创意的 说是恐怖片 其实本质还是喜剧
metaphor17,看过,推荐,2020-03-04 13:12:01,0,SNL前卡司威尔·福特真的笑死我
lostmore,看过,推荐,2020-03-01 10:18:24,0,前面没什么意思，后面挺搞笑加分，一起尖叫挺逗。女主平时教别人学车，经常路上会看到摇晃的树树，摇摆的插头等一切与鬼有关的东西，但她对这些都无动于忠，各种电话留言找他但仍被拒绝，直到男主的女儿被俯身，悬浮在空中才肯帮忙，决定收集几人的用来救女儿，但男主平时也有老婆鬼魂经常骚扰他，影响他的选择。最终收集完去发现女儿不见，喜鹊来带路去追车找回拦车被夹掉手指，喜鹊赶来撞玻璃差点死去。到家里仪式开始，地狱之门打开，但女儿被叶出来说不是处女，全部人质疑的眼神看着她挺逗，后来决定要女主，这时女主和男主一起破解这个需求导致恶魔离开，而男反也被用棍子撞下去结束，喜鹊被男反扎死并附身男主和女主交待离开。他俩结婚。
红姨,看过,还行,2020-03-03 22:53:14,0,有的时候冷幽默到一定程度会让我这种平庸的观影者觉得自己看不懂。。。
魚嘉樹,看过,较差,2020-03-05 15:27:12,0,剧情好拖，最后把恶魔召唤上来应该是全片最好笑的地方了吧，这种喜剧式驱魔还挺好。
牛奶很忙,看过,推荐,2020-03-06 22:46:13,0,可爱爱反康斯坦丁
2013艾新工作室,看过,较差,2020-03-01 20:44:09,0,我就想不通，那个要献祭处女的男人跟出唱片有啥关系？
阿七,看过,推荐,2020-03-03 00:48:38,0,恶搞，轻松
撒野,看过,推荐,2020-02-25 23:58:02,1,好玩儿
般若多目,看过,推荐,2020-03-03 20:42:00,0,哈哈哈哈my good eyes！！
乍暖,看过,还行,2020-02-26 23:06:08,0,7/10。很可爱的电影，香港无厘头的影子。女主很讨喜。大决战虽然有“吸入—破处—生子”三重剪辑和隐喻，还是差了口气。喜欢前面抓鬼的故事，可以拍成美剧。
果断未果啊。,看过,较差,2020-03-04 14:18:55,0,啥几把烂片 低级烂片 看他吐出来的老式浆糊我都恶心了
1w.,看过,较差,2020-03-01 01:54:03,0,一点也不好笑 也不恐怖。
