用户,是否看过,评分,评论时间,有用数,评论
蛐蛐不会唱歌,看过,力荐,2019-09-12 01:52:51,139,🇳🇱居然提前一天上映了！bgm响的瞬间热泪盈眶！2h的故事很满，看到每个角色都还是原来的演员就很满足hhhhh（剧透预警：老夫人Violet 承担了七成笑点，依旧是mvp。Tom任务太多了，难道因为马修档期短，承担了马修的戏份？Anna还是原来那个naughty gitl！老管家还是原来的味道！小管家Barrow和伦敦大佬一比，简直小白兔啊！粉了粉了
WildestDream,看过,力荐,2019-09-12 18:58:36,133,"电视剧已经完结四年了，当时根本不敢想还能有电影版，看着所有角色活生生地又出现在眼前就是最大的满足。主题曲一响一秒泪崩，感谢Downton陪伴我的那些年😭 😭 😭 
结尾泪点预警，请剧迷自备纸巾😭"
南悠一,看过,还行,2019-10-05 08:21:19,32,这部剧的风格不好拍电影，对白多，人物关系复杂，如果淡化这两个特点，就失去了剧的意味，如果保留则非常考验调度。最后一场跳舞戏就看出来了，导演有点力有不逮，让这部电影只剩下了一点情怀。
xicaaalove22,看过,力荐,2019-09-14 21:36:27,100,哭死我了 BGM一出来我就不行了 Branson也太他妈好命了吧 先跨越阶层 第二春再遇到富婆可还行 我们家马修古迪也回来了 嫁我好吗！！！Maggie Smith哭死我了吧 我真的太爱太爱Mary了 大小姐牛逼啊啊啊啊❤️第六部过了四年还能出电影 这次是终于完结了 我也太爱Downton Abbey了
时间之葬,看过,还行,2019-12-13 10:58:22,32,对于没看过剧的路人而言，大概算是一部春晚式小品，一众角色走马灯式轮番登场，演绎一出你知道根本不会存在真正危机的危机，最后每个人都能落个心怀满足的happy ending。整体气质倒是很像一个20世纪的英伦老派，一面固守那些界限森严的等级观念，一面又不忘彰显一下自己支持同志的进步姿态
MJØLK,看过,力荐,2019-11-29 11:29:52,58,貝茨夫婦要造反，卡森管家重出山；湯姆智鬥叛國賊，管家巴羅獲真愛；瑪麗受託持家業，唐頓佳話傳百年。
xiaoyaah,看过,较差,2019-09-21 01:15:01,30,不是这算是电影吗？？
Mumu,看过,推荐,2019-12-10 23:18:29,34,"""you'll always be with us, professor, staring from every picture, talking from every book, as long as the school stands."" ""sounds very exhausting. i think i should prefer to rest in peace.""临了被霍格沃茨戳了心窝。"
ETHEL_dian,看过,还行,2019-09-30 05:01:21,34,BGM听的我一声鸡皮疙瘩，但整个电影院全是英国老太老头……
lavender,看过,力荐,2019-09-14 16:17:05,57,开头熟悉的音乐一响起来，伴着荧幕上缓缓浮现出的Downtown Abbey，就足以让人热泪盈眶。电视剧是我高考完的第一天睡到自然醒躺在床上开始补的，现实和剧里同样岁月静好的一段幸福时光，当时我可完全没想到能在电影院看到庄园里的故事，更没想到以后的自己会在悉尼。开头大概二十分钟的镜头全程都是浑身酥麻着看下来的（情怀啊！！）剧情很满非常精彩节奏刚刚好，每一个人物仿佛阔别了的旧友但都还是原来的样子，结局过于好哭大家都是he，奶奶和大小姐的对话也太感人了吧you’re the best of me😭 我好爱这一大家子！！（滚去重温剧，顺便补补马修的戏份
杀手皇太后,看过,推荐,2019-11-28 14:58:20,40,虽然剧情像没什么必要的强行续命。但小火车终于有糖了！【都多少季了还有人提要大表哥复活？？
roja,看过,推荐,2019-11-28 17:51:22,43,Edith的身材好棒，裙子也好看，Barrow的感情线最抓人了，随便塞个姑娘就给Toms了。
Repulsion,看过,2019-09-20 10:01:44, ,17,"很好的fan service. 后排男观众在Lucy Smith和Tom吻戏时的反应逗死了（""oh, oh, OMG""）…… 奶奶要走了很是不舍，也是有一点点unnecessarily sad."
LORENZO 洛伦佐,看过,推荐,2019-12-18 04:49:48,17,Thomas有了男人加一星！
时光本无罪,看过,力荐,2019-09-13 10:03:37,62,9月12，AMC Early Access。放映前会有一段十分钟左右Carson和Hughes的前六季故事线的介绍，这段介绍唐顿庄园官方Ins今天刚刚上传。开场熟悉的音乐响起的时候就要眼眶湿润了好吗！我从头到尾面带微笑。不太想在这里剧透，只想说剧本人设音乐都是原汁原味的，只要你喜欢唐顿庄园这部剧就一定不会对这部电影失望。楼上楼下笔墨分布很均匀，每个人都在电影里有高光时刻。老太太和Molesley出场全场必定一片欢笑，尤其是Molesley那段蜜汁尴尬的鸦雀无声，老太太嘴皮子就是欢乐源泉。Thomas和那位Footman两次发糖我在电影院Awww到快哭出来了，有种终于把孩子嫁出去了的感觉。Tom真的很爱不走寻常路的爱情，结尾时候夕阳下的舞格外浪漫。以及Mary的发型动起来真没那么丑～
徐若风,看过,还行,2019-12-14 17:51:30,16,对于没看过剧的观众如我而言，真的就是“打扰了”...
拯救班克斯先生,看过,力荐,2019-09-14 20:46:03,39,电影版非常好看，满足所有期望并且超出预期。全新故事线情节完美，唐顿庄园所有特色都再次呈现，大量笑点，许多浪漫小瞬间和难免的泪点。N.B. 大屏幕上的古迪美貌无双
痞子笛,看过,力荐,2019-09-23 19:13:54,39,时隔几年以后在大屏幕看downton abbey的感觉很奇怪，仿佛是一群久未见面的老朋友，我在屏幕这边，感叹他们都老了，为他们有各自的生活而安心。电影结束有种恍惚感，好像他们还在某个时间线上生活烦恼欢笑。而我在这边期待着下一次的重逢.
翰小七,看过,力荐,2019-09-21 14:20:01,18,天啊！托马斯都有吻戏了！刺激！
天马星,看过,力荐,2019-12-14 18:23:29,23,纯剧迷电影，唐家屯粉爆哭现场。追《唐顿庄园》的时候还在用快播，《疑犯追踪》才刚开播，《权力的游戏》还如日中天，奈飞还没有推出《纸牌屋》，现如今POI虐心完结了杀千刀的诺兰去搞了扶不起的《西部世界》，权游烂尾了2DB变成了2SB，奈飞当家剧王变成了《怪奇物语》凯文·史派西身败名裂了，一切都变了，只有唐家屯还有那个味，往事不能追忆啊！
看来唯有我知音,看过,推荐,2019-12-13 17:32:29,26,BGM响起的一瞬间就露出姨母笑，堪比海德薇主题曲。平均每隔五分钟姨母笑准时出现一次，一直持续到结尾。大电影一点也不刻意银幕化，就像是拉长了、舒缓了、充满舍不得剪掉的小细节的一集剧。Lady Mary开口说话第一秒又梦回第一季（啊我的心都是大小姐的），群像丰盈，特色突出。大团圆结局也无可厚非啦毕竟这可是唐家屯啊。
模因碎片,看过,力荐,2019-09-15 18:48:28,27,配得上Grand Finale这词儿。甜蜜完美到像颗昂贵蛋糕，从糖霜到内核都精致闪光。配合中秋佳节食用 过了这么多年不知道是齁的是感动的 让人挤了几滴眼泪。
胤祥,看过,还行,2019-12-20 00:46:20,6,两集电视剧的节奏和体量，说白了其实是个粉丝电影……当然对白的机巧和美服化道的水准还都在，不过强行给每个人都配对这件事实在是呵呵，Tom的戏写得那叫一个仓促（小声说，就不能搞点闪回和时间线穿插来cue一下大表哥吗……）。听说上映版删了托马斯两场戏，sigh。
十二辰子,看过,力荐,2019-10-02 01:02:08,23,极少数看过的英剧终于落幕了 结尾精彩到想站起来鼓掌 / 这个剧好就好在英国自身的文化厚重 也是为什么英国才诞生莎士比亚 / 有人拿红楼梦作比但前者到头来白茫茫一场空 唐顿却终是皆大欢喜 太美好了
阿格达斯,看过,力荐,2019-12-09 16:19:54,19,五星献给那个亲吻托马斯的男人。他只是把手放在他的嘴巴上，就让人颤抖不已。年度最美片段，天我看了好多遍
Dreamer,看过,推荐,2019-12-13 22:49:16,16,梦想成真，终于在大荧幕看到了唐家屯。好久不见，你还是我熟悉的老朋友，片头我就老泪纵横。我欣慰地看到了Thomas拥有爱情，留下老母亲的泪水。Thomas deserves the best boy and all of love. 可惜影院还是有删减。古迪子身为大姐夫，过于酱油。新角色Lucy还挺美的，很有气质，和Tom也很搭。
欢乐分裂,看过,还行,2019-12-16 21:54:25,6,1、选对主题曲有多重要，从2010年听到现在，每次重听都无限感慨，有一个剧能伴随生命同步流逝，真的幸福；2、有剧集打底观感更好，如此众多的人物如走马灯似逐一登场，戏份要匀分，难免匆匆过场，且整体剧情很平，仍处于在二战到来之前的“过渡”部分；3、最可爱的依旧是奶奶，简直是整个旧时代的象征，然而一切都在迅疾往前奔，她来人家终究要将未来交给大小姐；4、古迪仔就在结尾打个酱油？？？（生气！）
疯疯爱,看过,力荐,2019-09-14 23:58:33,11,每个人都在唐家屯找到了快乐，编剧真的太厉害(ง •̀_•́)ง 就是马修古迪，你确定不是来打酱油的？
Favillae,看过,还行,2019-12-13 18:28:34,3,本来也没期待唐顿系列能拍成维斯康蒂的《豹》嘛，这个片像是奶油泡芙那种小甜点，不痛不痒，表现仆人阶层勾心斗角的鸡毛蒜皮也是一如既往地形同儿戏，一场阅兵Yorkshire Hussars就那么点人啊，大小姐雨天里亲自搬点椅子就怀疑人生了，马上二战就要来临了，hang tough啊世袭贵族们，讲了点战后爱尔兰问题做点缀，好久不见SCM老师了，他那个角色就不点评了。唐顿剧基本没看过，电影还是要进影院捧场，可能就为看看城堡华服吧。老管家最后那句话倒是说得好，“百年后唐顿庄园仍旧屹立”，百年后海克利尔城堡仍旧屹立，只是连昔日城堡所映照的帝国余晖如今都已不复存在了。
Jakob,看过,很差,2019-12-19 06:46:33,7,服裝、佈景都很好看。但這部電影只領會了貴族的皮，對貴族精神的內核一無所知。牽強附會地加入多段感情戲，每一段都淺嘗輒止，突兀、造作。
千早立夏警部殿,看过,推荐,2019-09-30 07:14:56,24,对于英国村民来说，你们眼里流光溢彩的唐顿庄园系列可能更像是出诙谐的轻喜剧，每每怼人损人刻薄人的情节一出他们笑到头掉。看似是在接待王室的新故事里为每一位主角配角都寻到了新的归宿：顺从命运的自我意识觉醒了，忙婚礼的人小醋怡情，失去工作的人回炉报恩。而这一集感受的点在于新和旧的默默对抗，帝制与共和主义，老式贵族阶层意识和新的交集理念。老奶奶说我从不争辩我只是解释，最后和大小姐的“临终交代”催泪无比，我的下一代还会活成我们这个样子吗？他们可能有他们新的活法儿，但唐顿庄园永远在矗立在这里，会一直是他们人生的一部分。
临冬城的囧,看过,推荐,2019-12-14 13:24:52,15,开头以为是哈利波特哈哈哈哈哈哈等到Maggie Smith和imeda老师一碰面就开始火花四溅的互怼，我确认是哈利波特了哈哈哈哈哈
柏林苍穹下,看过,推荐,2019-12-14 21:21:10,13,看似“兰桂齐芳，家道复初”，但在即将降临的二战面前，终场的舞会，不过是一席伤怀离别的盛宴。
石棺,看过,推荐,2019-12-12 09:59:06,14,剧情类似贺岁片无甚可言，顶多续写一些各维度等级观念的变化趋势。但是，片头那令人熟悉的音乐响起，惊觉离第六季结束忽而已是四年。
南泉,看过,还行,2019-12-15 16:21:47,2,直接感受：拍成电影总算提高预算了…
SUN,看过,推荐,2019-12-04 22:40:09,16,看着大小姐和马修古迪翩翩起舞，说着不会离开唐顿庄园，可是还是会想起那个下着雪的圣诞夜。世间完美，皆无永恒。
陆喜乐天天学习,看过,推荐,2019-12-02 17:39:05,22,很水，就像个两小时剧集，only that 它本来就是个精美的剧集。小火车第一次进到 gay 吧打开新世界大门的表情又好笑又可爱 2333333
许泽,看过,力荐,2019-11-29 21:28:20,8,皆大欢喜，皆大欢喜。
probe,看过,较差,2019-12-11 13:44:51,10,极度矫饰的贵族表皮之下，实际是资本化的阶层固化宣传片，满是为满足部分骨子里是精神底层者上位的意淫与争宠的快感，都是资本奴仆的庸俗视角，无时不在的献媚感的配乐尤其让人恶心！真正的贵族不是靠做作的把金钱，地产，衣着，仆人往自己身上贴满来辨别的，贵族的气质是包装不出来的，贵族的眼神不是盯着镜子，而是世界的远方。遗产电影终究都是对阶级上位幻想症患者捞钱用的，英国对世界电影具有遗产价值的始终是工人阶级电影，论真正的贵族电影，法国，意大利，德国乃至俄国都可以随便吊打虚伪做作的英伦资本贵族片。
大-燕-威-王,看过,力荐,2019-12-14 23:39:22,7,看到有些评论真是好笑。不接受不平等的万恶社会就别看呗，非要看不说，看了还觉得自己受到侮辱了。
with,看过,力荐,2019-12-14 12:24:06,4,小心糖里有刀，永远是这种大环境变迁下不同阶层的人不同的变化最让人感触，剧情和叙事还是同样的配方但整个楼上楼下幽默感提升了好多，老太太们互怼真的拍烂了手掌，还给了Thomas糖真的哭出来，那么多年我最喜欢的人物还是ThomasQAQ，说可惜的可能还是没有给Edith的事业延续（Edith真的太苦了）可是看到的是楼下小情侣的光明未来，无论怎样还是太好了我永远爱唐屯QAQ
獨孤島主,看过,还行,2019-12-14 23:57:21,3,端正古典味道的非古典叙事，在各类约定俗成里从容地大做文章，是费罗斯的拿手好戏，上下端是尊严之战，内外实乃难舍去留，道尽沧海，浓情万缕。
埃蘭迪爾,看过,推荐,2019-09-25 22:38:24,16,这是一部塞得非常满的片子，然而却怎么也看不腻，相反越到最后你越怕看时间，特别的是这一次戏份更多地给了给唐顿工作的那群可爱的人，他们的烦恼与智慧，以及最可爱的台词全部都给了Maggie Smith，老太太我爱你一辈子！
地铁里的季风,看过,推荐,2019-11-29 09:10:11,12,主子斗主子们的，奴才斗奴才们的。就像天鹅浮水，表面一派宁静祥和，水下却是腿脚乱蹬。
瑞波恩,看过,力荐,2019-12-17 23:48:57,5,英伦剧的工整与讲究是旁的望尘莫及的，一次女王与国王意外拜访，就把历史悠久的唐顿庄园搞得鸡犬不宁，细节见真章，无论主角配角都有其存在的一席之地，密密麻麻的群戏可谓绝妙，虽然嘴上比较损，但腐国人民对自己的君王认同度还是相当高的，连仆人和陛下说一句话腿都要鸡冻的抖三抖。而自始至终我的注意力始终在“麦格教授”玛吉·史密斯身上，老人家一把年纪还要扮演毒舌老太不可谓不辛苦，而她对于孙女以及庄园的深情亦让人动容，无论如何，曾经的记忆会永远在你心里不会远去。
fallingraining,看过,力荐,2019-12-08 00:35:50,2,伯爵府仆人起义事件。让汤姆把东西再拿回来，这老太太太狠了。
NuurJannah,看过,力荐,2019-12-13 12:46:21,9,"“Granny~ 你会一直跟我们在一起的。你会从墙上的每一帧照片里凝望我们。在每一本书里看着我们。”
“哦！那我岂不是太累了？就让我安静地永眠吧……”

Applause for Granny Violet~你永远是唐顿庄园的灵魂！💜

👋 Farewell Downton~ 希望我挥手前行的时候，你依然在那里。#2019104"
天猛公胡安,看过,推荐,2019-12-17 17:28:06,3,无外乎对过往看剧年代无忧无虑感的一种重温
rehabing,看过,力荐,2019-12-14 13:18:56,4,麦格教授vs乌姆里奇实在无法不跳戏～哈哈哈哈～小火车终于有着落了
惘然,看过,力荐,2019-12-16 21:52:23,5,"看的时候就莫名想到《红楼梦》里元妃省亲，阖府上下都惊动了。
但大事件下永远都还在讲述着小人物的命运。《唐顿庄园》永远都不会让我失望，永远都有各种矛盾交织，对立，又永远都有沟通与融合。时代在前进，人也要前进，这样唐顿才能屹立不倒。
电影版交代了每个人，几乎给了所有人happy ending。作为剧迷，特别喜欢这样的安排。
全程带着姨母笑看完。"
恶猫的步调,看过,推荐,2019-12-15 18:41:27,7,五十年前谁能想到人能上天，lgbt影史经典台词候选。
Warthriel,看过,较差,2019-10-10 02:08:31,9,精緻，古偶繼續被硬吹出時代劇地位。為了幸福美滿大團圓，連馬修都被拉回來塞給了本性難移的大小姐。僕人的爭執是本片華彩但狗血滔天一發不可收拾，原有的幾位蓮花變本加厲，貴族真的試試捉弄一下女王的僕役吧，還自以為佔據道德至高點，真不怕你們主人過了今天沒明天？主角也團乾脆利索雞湯了女王家務事，什麼矛盾心結都抵不過聖母/父普渡眾生。老奶奶永遠是本片的精華，無論生死關頭或日常瑣事，總是自如瀟灑，自有一番哲理。人生總有一別，謝謝編劇為此留白。編劇對巴羅到底是溫柔還是殘忍，給他少數群體的身分壓抑以及至今偌大莊園無人關懷的處境，大小姐不留一絲情面不言不語軟性趕人，忙碌閒散與否莊園的好事亦一概與他無關，卻給了他一位紳士的知己、情人兼密友，何不乾脆些給他一個真正愛他的家啊！或者恢復那個用刻薄保護自我的人設也好啊！
pan,看过,力荐,2019-09-20 12:54:17,13,Granny宣布Lady Mary就是最好的她自己，并且鼓励孙女成为新时代可怕老太太。| Barrow脑残粉的我很满意这个HE番外。
yourstepmom,看过,较差,2019-09-22 17:06:36,4,麦格教授老得眼珠子都不聚焦了 强行安排二小姐露沟 父权制大耳刮子扇得中年妇女及其酸爽 猛拿胳膊肘子怼邻座老公 “DVD版出来了你可得给我买嗷 二刷这装修这珠宝 夺美啊” 几年之后大萧条来临 全赔光
深夜声噎,看过,力荐,2019-12-13 20:21:45,6,在电影院坐下了的时候才想起最终季好像我还没刷完？？？哎，时间都去哪了我哭。一个人VIP厅包场爽歪歪，美哭也笑哭了，还是麦格教授让我笑得最大声哈哈哈，二小姐好胸。一本满足，如果绝命毒师电影也能在电影院看就好了。竟然删了两分钟…
基瑞尔,看过,推荐,2019-12-13 21:54:01,9,仿佛这部剧从未停播，而只是突然回归的特别圣诞集，就像那次赚走所有人泪水（和骂声）的“Matthew”之死，或是心满意足结局并提醒观众大步向前的最终章。Violet和Isobel依然互怼，是毒舌“姬老伴”；Thomas仍然是后妈生的，从身心上全方面虐；而Patmore和Daisy还是层出不穷地准备那些似乎永远也吃不完的食物…但7年间，每个人和唐顿的关系都发生了改变，有些时候好似枷锁，阻挡生活前进；但更多时候是提醒存在的意义，为守护它荣耀，激发智慧，抛低原则。除了Max Brown才在《王室》演了国王，在这里演小情人有些出戏，一切都似乎很完美。希望几十年后，Michelle Dockery可以摇身一变那个“毒舌老太太”继续演，也希望“终有一天所有人也会理解我们”，这就是冬日里最宝贵的箴言和祝福。
苏打囝囝,看过,力荐,2019-12-10 22:11:34,7,能在大荧幕上再次看到唐家屯儿的每一个人真的是满足到爆，前奏经典的音乐响起鸡皮疙瘩起了一身，瞬间想哭。老太太依然VIP，金句频出，贡献了全场的笑点和泪点，而她也真正的就是唐家屯儿的精神核心所在，永远的那么慈祥、可爱。我真的是太喜欢他们每一个人了，不管是伯爵、夫人、大小姐、二小姐、Tom，还是楼下的管家、女仆、男仆、厨娘，还包括永远在心中怀念的大表哥、三小姐，他们每一个人都是唐顿缺一不可的一份子，不管时间过了多久，唐顿庄园会永远屹立在那，而他们的故事也永远都会被我们铭记，从未离开。爱！
玫瑰砂,看过,推荐,2019-12-13 17:56:22,8,熟悉的音乐，向粉丝告别。给每个人安排一个happy ending以至于小司机的戏份过于多，以及要推进的线太多所以每一对都是第一眼解决悬念。Maggie老太太真的演不动了，眼神都有点散，但是居然能看见麦格教授和乌姆里奇世纪大和解，值得吾辈大笑三声。安娜关于唐顿的心脏的话点题。
九命猫@victor-eyes,看过,还行,2019-12-11 23:01:54,6,镜头很漂亮的电视剧，每个人都有个好结局。尤其是托马斯，终于找着对象了。小司机实在厉害，从一位千金走向另一位千金，一栋豪宅走向另一栋豪宅……
突然粉碎,看过,推荐,2019-12-10 22:33:04,5,唐家屯全屯热恋中，托马斯总能钓到最帅的，三妹夫总能钓到最有钱的…这两位是最敢于挑战已经固化的阶级分层的，当然也吃了一点苦头，奶奶还是那么犀利，大小姐还是那么优雅，安娜还是有勇有谋，卡森管家胖了老了，岁月不饶人，都给我活着，谁都不要走不要死，预感到下一集要炸唐家屯了（二战？？PS同性吻戏删了
眠去,看过,还行,2019-12-10 12:47:19,2,真尴尬，一成不变的人物脸谱和烂梗，连语气都不变。
麻绳,看过,还行,2019-11-28 19:22:11,4,对剧粉来说，听着熟悉的bgm，看到这些人物再登场就已经很感慨了，但就电影本身来说还是太白开水了。活着的主要人物悉数登场，事件似乎不少，但每条线都蜻蜓点水，无法深入，矛盾也不突出，整体看下来就是不过瘾。
彌張,看过,推荐,2019-12-03 02:27:12,4,thank GOD！编剧终于想起巴罗是个gay了！真是不容易。马修一出场就帅爆。。大结局收尾所以所有人都要有归宿。陪伴九年终于画上句号，真像一场梦
施舍翅膀,看过,力荐,2019-12-17 18:25:36,6,以为会是把唐家屯的故事再讲一遍，没想到是一集完美的圣诞特辑！又骗了了无数眼泪TAT Granny真的是英国国宝了 虽然这么说很不地道 但我还是要说之前没看过唐家屯的人根本get不到对每个人的精心编排！唐家屯也将永远是我人生的一部分！（想看：一万个期待！！！爱死这一家人了！！！希望大表哥能回归啊！！！！！！）
雪崩之时,看过,还行,2019-11-04 15:52:49,4,结论是我十分不理解君主制
A-sun*,看过,力荐,2019-12-18 12:40:42,3,尽管已经在各种细节末枝里表达唐顿的故事真的要告别了，但嘴上仍会竭力说downton is never end，因为那是心里的唐顿啊～（英美老太太斗嘴想再看一千集）
乘风吃牛肉面,看过,较差,2019-12-13 11:57:55,3,剧情太刻意了吧，旧世界的陈腐味道实在太重，就这点事儿至于拍个电影出来吗_(:_」∠)_
fomalhaut,看过,力荐,2019-12-01 16:38:31,5,编剧憋了五季，终于舍得让托马斯找到了真爱。看到地下gay bar简直笑翻了。老夫人看上去比几年前电视剧里还年轻，真不敢相信玛吉史密斯已经85岁了，真是活到老演到老的老戏骨。遗产继承人纠纷、私生女秘辛，布兰森梅开二度，绕了一大圈还是肥水不落外人田，老夫人满意极了。大表哥没出镜有些失望，明明片场照有他的啊！
神州九十九遍路,看过,推荐,2019-12-15 22:18:27,6,天啊，请赐巴罗先生一段好姻缘吧！还以为和埃斯利至少会抱一下！（想看埃斯利和巴罗的番外剧
蒙古国海军司令,看过,推荐,2019-09-24 04:10:40,2,上梁很正下梁歪？？？
red.,看过,推荐,2019-10-29 04:15:54,3,聽到電影院響起熟悉的旋律還是聽激動的，大概因為十分愛主題音樂。很團員的結局，特別照顧了lgbtq，很政治正確的劇本。世界太殘酷和醜惡，時不時很需要這種圓圓的假假的認真的美好。
Sabrina,看过,推荐,2019-12-01 16:32:42,3,不能直接羞辱皇室成员，但不会放过皇室随从。还好每个人都有一个好的未来。看到男人们对皇权对权力有多激动，几乎一个不落的激动要参与。
