用户,是否看过,评分,评论时间,有用数,评论
CCCCLEMON,看过,力荐,2019-12-31 19:26:05,21,白百合不愧是大妞电影TOP，白姐加油啊！一定要东山再起！！！！！
LOEYSTIKO,看过,还行,2019-12-31 19:23:17,87,你们文艺小女孩也好文艺女青年也罢能不能不要感情上头就大喊大叫啊，给我们这种爱好压抑擅长沉默的女的也一点坚持活下去的勇气行吗。
海哈哈,看过,较差,2019-12-28 22:30:14,42,小白从北京蜂巢剧场回到家，陪完爸妈，还能回到北京，然后小时候总在海边，河北女孩的故事无疑了……
嘟嘟熊之父,看过,较差,2020-01-01 16:44:45,31,照电影中白姐这种性格，如果约会时候魏大勋请她看一部这样的电影，她应该会翻一个大大的白眼，然后大吼一句“去你大爷的”！
我略知她一二,看过,还行,2019-12-31 17:58:39,49,55/100，求求白百何不要再接这种烂剧本来消耗自己的灵气了，自从变胖之后她的共情能力已经趋近格式化，演好自己很不容易，但是重复自己却很容易，无止境地在这种小作坊作品里贩卖自己的路人缘是很不明智的选择，这种除了白百何一无是处的电影不应该是她的雪中送炭，但是事实证明也没有送去什么好炭，只能一声叹息吧，在《我妻子的一切》放出来之前我还可以继续容忍她演130部烂片。
大锅,看过,很差,2019-12-31 17:39:41,31,请问，这流水账拍的是小学生日记吗？
小楼。,看过,2019-12-28 21:15:39, ,37,白百合特别适合演那种热烈生活着的女孩，投入到细枝末节的情绪里，我们的电影需要这样的女孩。
明日方舟,看过,较差,2019-12-31 15:47:26,29,又是做作的北漂电影，逃不掉的毒鸡汤，逃不掉的大喊大叫，逃不掉的残酷北京。花两个小时看这样的电影，谁的新年好得了。
女巫。,看过,推荐,2019-12-31 13:32:27,145,现实很美好，现实很残忍，现实给人希望，现实也能击垮你所有的希望，我们假装坚强来面对父母的关切，面对别人的眼光，其实我们怕的是暴露自己脆弱，暴露自己崩溃的情绪，这部影片直击心灵的最深处，四星推荐。
LinNash.,看过,很差,2020-01-01 17:46:31,13,又名《亲爱的有啥破事对着天空嚷嚷几句就解决了新年好》
内陆飞鱼,看过,还行,2020-01-05 12:31:41,7,"“北漂”曾是60、70后的梦与痛，很高兴，《后来的我们》《半个喜剧》《亲爱的新年好》……这两年陆续有作者开始拍80后的北漂故事,北京是个巨大的磁场，无数外省青年欲罢不能、欲说还休，不想轻易离开，那些从小地方来、生命力顽强的青年，总觉得这里充满了奇迹，不搞得头破血流，不搞得花团锦簇，总不甘心，剧中两个女孩互相映照，最终每个人可能都是白树瑾。北漂之路，有时候不是有多强烈的梦想去追逐，只是不甘心自己从此被平庸洗涤坠入茫茫尘埃，变成自己曾经讨厌的一份子，而北京是一个可以藏身其中的铠甲，能暂时抵御时间、年龄、婚育、子欲养亲不待等这些事情的步步紧逼。"
哪吒男,看过,还行,2020-01-05 14:20:05,9,白姐演的真好啊！！在我心里，白姐就是女版的我自己。
荣王爷,看过,很差,2019-12-31 10:35:07,21,女主角一直饰演小妞另外一位也很不咋的 刚毕业就可以住的起好房子工资够房租嘛？编剧你不是偶像剧👌
飞侠式拼搏,看过,还行,2019-12-31 23:04:53,67,"一部献给北漂，以及在外打拼的每一个人的电影，但一切又都给人很刻意不真实。
最大问题还是剧本上，爱情、亲情、友情，再加事业，一大堆全部一起上，然而又没能力去处理好。一上来就是通过分手、房租、工作等一系列麻烦事集中堆积，以此来博取观众同情。似乎国内不通过这种方式，都不知道怎么拍这类题材了。
整体上一般般，一言难尽，不好但也不算太差。好的地方在于片子很适合跨年夜观看，结尾天台的“新年好”以及烟花，太应景了。
说到底其实本片就是一碗鸡汤，一堆人生大道理台词送给你，让你在一年的最后一天感觉到些许温暖，给你来年打打气。
回望下这一年，自己感慨也颇多，那我也就认了这碗鸡汤。也算是给我今年观影之路画上一个不算太差的句号吧，也对自己说一句：“亲爱的新年好！”
PS：感觉国内自此要开创一种电影，叫做跨年电影。"
Evelynxii,看过,较差,2019-12-28 23:19:36,35,一个片子下来还是不知道留在北京的原因到是啥 为什么留在北京会更快乐的感觉没出来 有点尬 … 为什么要追梦呢 没有支撑 没有情感共鸣
杰瑞的胸肌,看过,较差,2019-12-31 14:43:10,39,天呐，导演一定没有体会过北漂生活，这满满的鸡汤味，鸡汤喝多了会的冠心病啊，亲爱的！！！
内有恶犬,看过,较差,2019-12-31 23:28:37,12,白姐驾驭这类电影跟玩儿似的，小妞演技甩同龄演员绝对不只一条街，请给她一个好点的剧本！！
深潛六千米,看过,较差,2019-12-25 17:42:11,26,看的路演超前点映，只能说强行煽情最为致命。人物特别脸谱化，也不知道是编剧的锅还是导演的锅，所谓正能量元气满满就是得时时刻刻大喊大叫，看着像是低配版鹿小葵，抱歉没有说子枫妹妹不好的意思。这个剧吧，虽然有几个点挺戳人的，但整体真的是太尴尬了……虽然映后举手提问的观众里面有说自己哭了的，但对我而言，这部剧还不如我同期看的其他电影。
我爱罗宾,看过,推荐,2019-12-31 09:44:13,13,这就是白百合巅峰时期的最适合的作品，也侧面证明了，她的时代已经一去不回
室内滂沱,看过,还行,2019-12-31 14:11:02,17,这结尾我一猜就是···由于对片中出现的合生汇、三里屯chao等外景太过熟悉，观看时想到一点，就是电影中供人物活动的场景，只需在影片内形成一个完整的空间便可，如果实景拍摄，观众恰好又知道那里的实际布局，会干扰观众对人物行进距离的判断，从而打破影片提供给观众的空间逻辑。因此实景拍摄可以，但不宜过量，更不宜在很长一组行动段落中使用同一实景，想要“接地气”的话，片中人设和这个故事本身就已经很接地气了，不必一再用地标建筑来加强说服力（比如《少年的你》和《南方车站聚会》，营造地域环境氛围比直接拍地标建筑更重要）。由于许娣演得实在挺好，影院不少观众落泪，电影给人一次释放情绪的机会，也让人学会坚强。同是女明星+独立电影制作模式，技术层面比之前的《送我上青云》熟练得多。虽是畅销作家编剧，但片中最弱部分还是对话。
紫苜蓿,看过,较差,2020-01-01 16:03:22,12,又尴尬又乱七八糟的剧情，两星给白百合的演技
深夜声噎,看过,还行,2020-01-04 00:37:39,3,这个故事告诉我们至少得精分出一个自己才能在帝都活下去。所以那个什么绫野是个男的？什么鬼名字，其他什么仲要陈年旧事金金很明显，绫野什么鬼，为了和树谨啥的搭配？
阿朽,看过,很差,2019-12-31 22:22:17,12,被预告片（尚可）骗了，2019最后一部让烂片终结了。白百何被浪费了，演的挺好的。矫情极了动不动大喊大叫，一切卖惨都浮于表面，日剧日影那么多了为什么我要看这个，哎。
KayCorleone,看过,推荐,2019-12-25 20:50:13,42,"剧本太讨巧
张子枫这演技 太惊艳了 和白百何闹的戏简直像甜茶 她在饭店大喊自己想要谈恋爱 这场景《爱你，西蒙》也有但是后者可是尴尬癌犯了
白百何的爱恨 甚至所有七情六欲都太过直接 她的戏和33天 肿瘤君 好像都是一样的 似乎能串成一部长剧
白百何的脸实际上有点下垂了 或者浮肿 和王珞丹比起来是感觉受到了生活的毒打 大屏幕真可怕 王珞丹像从后会无期开始演的路子都很淡 非常像杜拉拉的黑化
张子枫镜头确实很日式啊 难怪黄磊说像山口百惠 希望奶的这口不毒 中国真的很缺女神/合格女爱豆/演员
【我在重庆的才会找不到路 🙄 
在成都只会感叹地铁太爽了 
去看世园会 路过西四环确实看到了北京的美】
白百何比王珞丹小一个多月 谁偷走了谁
魏大勋的资源也太好了吧 这么多通告 怎么和ym谈恋爱？？实丑"
文刀大土申,看过,推荐,2019-12-31 18:28:34,36,是跨年这个时间段最适合看的一部院线片，在异乡打拼奔理想的年轻人应该更有所感触。白百何也确实演得好，其饰演的资深北漂白树瑾真实而自然，她所经历的困境（爱情/事业/亲情）可能也正是大部分人正在经历的，所以这个角色是具备产生共情感能力的，与她搭档的张子枫，其饰演的小女孩，年轻富有活力，不服输，也就像初到北京时的白树瑾，她的出现，是在告诉白树瑾和银幕前的我们，请继续为梦想加油。
法外之徒,看过,较差,2019-12-27 18:33:21,18,北京这一极具当代意义的地域符号在这部一味煽情的贺岁片中流于表面 仅存在于或流光溢彩或断壁残垣的都市剪影和主角鸡汤式的咆哮尖叫中 尤其子枫妹妹这个“鸡血角色” 即便是在三十岁遇见二十岁的自己 简单粗暴的宣泄也不仅不能贴近问题的本质 反而是在回避甚至是逃避城市装置中的“人” 丧也好、小确幸也罢 没有任何渗透文本的可能
迦南Canaan,看过,2019-12-28 19:02:48, ,6,整个一片子里拍得演得全都是糟心事儿，是挺真实的也挺扎心的，但编导的编排也是简单粗暴的。奉劝各位在北漂的友邻，大过年的还是别去电影院糟这个罪了，看完生活也不会越来越好，反而想起那些有的没的，挺没劲的。
桃桃林林,看过,较差,2020-02-09 14:05:52,4,太鸡汤了也
萨库拉,看过,较差,2020-01-05 19:36:32,12,算不上是电影。一星给演妈妈的许娣，一星给白百何。白百何真是国内小妞电影第一人，眼看泪沟法令纹已经明显，下颌线已经肉圆，生生被负面新闻耽误了最好的几年，还蛮可惜的。
Enjolras,看过,还行,2019-12-31 21:19:49,10,白百何这个人物告诉我们在北京当图书编辑还是挺赚钱的，房车都到位之后，就可以跳槽去当售楼小姐养养老同时养个小奶狗了。
毛香菇,看过,推荐,2019-12-31 17:24:41,14,来北京已快十年，看这部电影的过程中，情节，情绪，台词，仿佛都经历过。多少次想放弃，随波逐流，又多少次哭过以后笑着重来。白姐slay，业务能力太强了，张子枫也很讨喜。我想新年的意义就在于，不管过去一年是否快乐顺遂，总有个契机告诉自己一切可以重做开始了，那么，亲爱的，新年快乐吧。
霉有孔·,看过,较差,2019-12-28 23:52:06,22,一言难尽
一口吃掉小蛋糕,看过,推荐,2019-12-30 13:12:48,17,完全没期待，作为一个及格分的片子，也算惊喜了。妈妈演技炸裂！！白百何一如既往的演技，甚至略显浮夸，导致妹妹也只能顺着她演，咋咋呼呼的。魏大勋的吻戏很惊喜，可爱死了。
口袋_肥力士,看过,还行,2019-12-27 16:57:14,160,有可爱也有现实的部分，有煽情也有被感动的地方。配乐优秀，“两个女主”的设定最后觉得也蛮好。唯一是觉得有点过于妖魔化北京，后来当做“她心中的自己”也就想通了。其实人来人往有进有出都只有自己在乎自己的故事，对于帝都不过是过客。最后还是要专注，做自己，开心，以及埋头挣钱w 另外白百何老师确实适合都市女性电影。
云在云霄,看过,较差,2019-12-20 13:31:28,11,张子枫小巧可爱，演技突飞猛进，听闻她在剧组里度过了自己的成人礼，祝愿今后的她冲的更高。许娣也奉献了难度极大但感人的表演，只有白百何依然是那个样子，诸事不顺的小怨妇，演技已经到头了。整体观感不错，但我想说都现在了还宣扬女性处处都是男性附属品的思想，冲着这不正的三观也不能给高分。
噗通女孩,看过,力荐,2020-02-09 20:27:33,0,为什么评分那么低？剧本是有的地方很尬，但是两位女演员都演得很好啊，跟着哭跟着笑，白百何真厉害啊，越看越好看，演技还那么自然。妈妈也演技超棒的。那些说失望的，你们又在期望着什么呢？普通人的生活就是这样啊，充满犹豫彷徨和迷茫。并不是喜欢魏大勋那样的男朋友，但是希望自己一直勇敢，不能越长大越害怕。“我还有喜欢的人，我还有想做的事”，这就是我期盼的。最近越来越怂，不快乐，看这部电影，让我重新找到了从前的自己，对什么都充满了热情，现在为什么会觉得傻呢？那不是傻，那是活生生的感觉啊。张小彩，新年好啊！未来的你，希望还是一如既往的坚定和激动啊！
苹果423,看过,推荐,2019-12-31 18:14:50,15,可能是今年看过的最有代入感的影片了，银幕上大龄北漂女青年感情遇挫、职场不顺，还有远方老家亲情牵挂，找到了太多自己、朋友们的影子，戳心的情节和那些道出心声的金句让人在影院里数度落泪～还好，我们都和小白一样坚持着，努力着，憧憬着，希望总有人对你说新年好，还有，晚安～
阿云,看过,很差,2019-12-31 11:28:14,18,四不像
后自愈,看过,很差,2019-12-29 02:52:21,2,喜欢白姐，但，白姐在片子里这么惨还能住这么好的两居室，你让我怎么再继续骗自己？
張小豚,看过,还行,2020-01-01 10:51:02,7,"北京也不是家
老家也不是家
泪目"
曲有误,看过,推荐,2019-12-31 14:36:43,12,白百何和魏大勋这个姐弟恋组合还挺有火花的，看得老阿姨都忍不住姨母笑，只要身边有这样的一份温暖和关爱，有什么理由不好好努力生活呢？
JoeyLu陆柏宇,看过,还行,2020-01-04 03:58:13,2,有点立意，但毁于片名
团小纸,看过,较差,2020-01-05 10:59:44,4,构思不错，白姐也稳，但太平了，最后的反转莫名其妙。
西湖区伊胜雪,看过,力荐,2019-12-31 17:34:00,14,年少不知白姐贵 现在方知白姐好
Morning,看过,较差,2020-02-09 11:02:45,4,别急于宣泄，好的电影一点痛也是痛，不好的电影什么痛都无法共情，因为情绪的东西不在于这个事实是什么，是在于创作者如果去体验这个本质，白百何的角色一上来几场戏全方位的展示了人物的困境，爱情、事业、家庭甚至还有房东要涨房租，实在没有必要，任何人都有权利去获得新生，未必要建立在一个困境的基础上。白树瑾这个角色有一个可以松动的缺口就是与“陌生人”的关系，这能打通她如何交朋友，如何和父母相处，和如何好好的工作，但影片并没有努力的经营这一点，她志不在此，所以最后电影的结果看起来似乎又是一部女主角没朋友的电影。
全世界失眠,看过,较差,2019-12-25 21:39:22,14,"人设太惨了 租房一涨涨2000 渣男拔屌无情 立马分手
剧情设置的算是精分吧 然后张子枫有点尬的出现就合理了
发泄情绪就是乱吼 让人觉得有点尴尬
保安还拿脚踢人 这也太不尊重人了 总体说没啥太大惊喜 特别是结局 当时还期待能反套路 结果没有 故事线高潮不够"
