用户,是否看过,评分,评论时间,有用数,评论
anne 小兔子🐰,看过,较差,2020-02-24 20:48:28,2,"要不是因爲這卡司，要不然真心不會看《遺願清單》日本版

故事本身很有意思，但導演敘事手法、拍攝方式，都太有問題了。害我一邊看一邊刷遊戲。

覺得這種慢節奏又說教又無腦的作品，實在太像日劇拍法了。昏

聽說原版很好看，但我已經疲憊了"
镜中猫|51neko,看过,还行,2020-02-23 21:32:38,2,副标题改成有钱真好吧！我好奇我海是真剃光头了吗？百变发型+高级时装秀我可以！以及主妇阿姨恕我直言，真是有点喜欢给别人强加幸福呢。
匡匡,看过,较差,2020-02-23 18:58:17,2,忍住胃里的翻滚。表演尴尬到牙碜。抄作业都抄不整齐。
翦瞳儿,看过,推荐,2020-02-25 15:07:18,0,2020-02-24、25
昆虫学家,看过,较差,2020-02-25 01:31:33,2,卡司优秀也拯救不了日式翻拍的通病。
鬼腳七,看过,还行,2020-03-02 22:00:22,0,犬童一心还是老一套，（自以为）看似不露痕迹的狂煽情。不过说到底，为啥要翻拍这个片子呢？估计金主只是想看小百合和天海女王合作一出戏，这片唯一精妙的也只有选角。这么来看，也算完满完成任务了。
梵目,看过,还行,2020-02-23 04:02:27,0,同样泪目
Lu,看过,推荐,2020-02-24 12:20:02,2,七十多的小百合穿上婚纱眉眼里还是那温婉而坚韧的昭和美人，被硬邦邦气场的天海女王带着装逼一起飞，故事背景移到日式语境还是很有话题性，只是编导水平和原版差距较大。每个人都难逃一死，可是死之前又有几个人有条件任性一把呢？就算身体允许，贫穷才是限制梦想实现的最大障碍。
大魔王脆皮儿,看过,推荐,2020-02-28 18:34:34,0,看过原版之后，觉得日本翻拍可以的，一起去宇宙吧！
m89,看过,还行,2020-02-27 17:04:26,0,全员素颜。想给两星来着，但觉得不太对得起小百合老师。流水线剧本，十分行货，受够了你们这些中产阶级矫揉造作、虚情假意的无病呻吟。如果我明天要死了，今晚请给我来两碗吉野家的牛丼，要大盛哦~
Dita,看过,还行,2020-03-10 22:53:52,0,东亚三国手牵手，谁先平权谁是狗。女人太难了！天海是女强人最后醒悟普通人也挺好？另一位就是女儿啊，家人还要你照顾啊。太难了！最开始感觉两位主演在一起很尬也没什么冲突就一起打卡遗愿清单了，原版一张破破烂烂的纸到了日本果然是精美的手账本，本土化的不错。原版就觉得有点温吞一般般，不知道为什么要翻拍。
柯里昂,看过,还行,2020-02-25 19:39:47,1,两星半。华纳又来糟蹋自家片库了…与原版比很多地方都显得相当违和，天海祐希的角色也看着别扭。
prost,看过,较差,2020-03-10 22:28:35,0,融入了本国特色，算是成功翻拍，但是剧本和剪辑都很无趣，后半主旨不错成片几乎垮塌。最好的是主内玛利亚的片尾曲《无尽的旅程》+★
风舞狂澜,看过,还行,2020-03-07 15:00:56,0,太过主旋律，有点适应不良……天海女王还是这么帅气
东北洪常秀,看过,较差,2020-02-26 14:35:52,0,有钱有闲+想啥干啥=日版「遗愿清单」
变形的文科生,看过,还行,2020-02-27 23:11:14,0,天海sama真的光彩照人，与生俱来的个人魅力存在感太强了。满岛光白领范儿很对味，都市干练OL很适合她。总体蛮失望的，尤其吉永小百合一家最后强行和谐大团圆正能量也是很尬。天海sama这个角色的遗愿不应该这么空泛，超独立的绝对女性，一定有自己的想法，而不是借助一个小姑娘的日记来填补人生遗愿啊！
瓦力,看过,较差,2020-03-02 06:40:27,0,美国版成功的地方在于俩老头是互助对方实现了快乐，这个尴尬的日本版则是放大了强调：没有遇到这样的土豪病友，啥都别想实现。何况此二人连遗愿清单都没有，实现还是个陌生人的清单...之前看新闻日本有许多普通老人有惊人存款就是不舍得花钱，如果真要翻拍其实这是很好的切入点，为何一定要照搬原版的一贫一富设定呢？父女和解那段可以理解，婚礼那段真恶心，下辈子继续你妹啊。
飞鸟凉,看过,较差,2020-02-23 16:07:26,0,一切为情节服务，敷衍生硬的改编，遵循情感和道德上都绝对正确的原则，要大爱，要美好，要和解，反正也不顾人物逻辑，假假的
土豆丝,看过,推荐,2020-02-26 12:54:30,0,我天海女王真是太可爱了
斯尔呵呵呵,看过,较差,2020-02-25 02:58:35,2,合着两次路过中国也不下去转转？之前可是骑着摩托去长城的。
Z星驰007,看过,还行,2020-03-06 21:52:04,1,果然“死亡”是催生一切美好的良药，它能使废柴老公下厨做饭、能让自闭肥宅走出房门、能让生而不养的父女恩怨瞬间化解、能让陌生人交心相待，有点扯。。。
邻舍的老花猫,看过,还行,2020-02-29 22:23:57,0,翻牌为二个女主的故事，总觉得是抄作业，毕竟缺乏新鲜感。浪费满岛光  吉永奶奶真是影坛长青啊
yuka,看过,力荐,2019-10-12 13:52:37,6,@ TOHO新宿 简单的剧情还是不可预料地哭了好几回，有不完美不自然的部分，但看得挺开心的。吉永阿姨真的是国宝吧，这么会演这么漂亮温柔，能一直在电影里看到她真的想感恩感激。在爱豆露的live舞台上蹦蹦跳跳的场景、婚礼部分哈利路亚的歌声和光妹的眼泪，和竹内まりや唱的旅のつづき真是大型泪腺催化剂。在人生最后遇到最棒的朋友，真的是电影才会有的剧情吧，看完想去长崎旅游了
英俊的兔酱🍖,看过,还行,2020-03-02 01:00:45,0,有钱真好系列
海贼拉面,看过,还行,2020-02-26 22:31:47,0,副标题应该叫天海佑希和她的十几顶假发XD 改编得特别日本，中规中矩吧。与其说是电影不如说像一集加长电视剧。天海女王对这种角色已经是驾轻就熟，但看她演再多相同调性的角色也不会厌倦，海边翻单杠那场戏层次真的太丰富了！情绪转换得超级自然！她真的好优秀！
寒青,看过,推荐,2020-02-25 20:38:30,0,感谢70代和50代的两位姉御那么拼命的演出以及海哥的大光头哈哈哈以及贴心的高田。「お前にもきっといい出会いがあるぞ」「行け－！」「飛べ－！」今を生きろ－！
噬辣狂魔小泽条,看过,推荐,2020-03-07 14:47:40,0,本土化挺成功，室毅最后打call我反正是感动了，ed竹内玛利亚欧风东渐的代表和电影也是奇妙的合拍，你海为这部片牺牲挺大了（恐高症跳伞、英语废讲英文），但是主角果然还是吉永小百合
silver skin,看过,推荐,2019-11-24 23:32:19,2,最后听到竹内的歌，看着muro看着天海看着小百合，好感动。
Meow,看过,还行,2020-02-23 20:46:59,0,等双yuri组合//虽然演员们演技都很在线，但是真的过于平淡又无趣，1.5h的时长感觉都很煎熬...比原版差太多了...
不吃青菜,看过,推荐,2020-03-01 14:26:18,0,"有钱真的可以让人为所欲为。
教堂那段我也不知道怎么就哭了。"
蒙奇D,看过,还行,2020-02-26 15:24:40,1,女王就是女王，天海祐希在哪都那么攻。死前实现愿望的电影很多，叫“遗愿清单”的电影就不少，杰克·尼科尔森和摩根·弗里曼那部珠玉在前，后面的电影很难玩出花来。不外乎看演唱会、跳伞、旅行什么的，但一定要有一个有钱人一起，不然啥也实现不了。日本这部《遗愿清单》不一样的点是老少配以及家庭主妇与女强人之间产生的戏剧冲突，更重要的一点是俩人都没有愿望（对于日本人来说似乎也成立），几乎是捡了一个愿望清单去实现，也挺有意思的。最后的“宇宙旅行”怎么实现呢？只要有钱，就都能实现。更想看一部穷人非要实现有钱才能实现的愿望的电影，不知道有没有好的灵感能让剧情丰满。可能写一半就写不下去了吧，这跟想要冲破阶级壁垒差不多，除非是奇幻类型。
計画通り,看过,很差,2020-02-25 20:17:28,0,原版就烂，举着放大镜看也扒拉不出什么好东西。翻拍烂²，白瞎了卡司。
ztlpoppy,看过,还行,2020-02-25 10:21:39,0,有钱真好。有钱才能去走清淡。
满江红,看过,较差,2020-02-25 21:48:05,0,没有看过美国原版，但无论从哪方面来说，日本版的剧本实在太糟糕了，矫情无聊而且毫无感动点让人共情，如果不是吉永小百合和天海佑希主演，更加崩溃。唯一的亮点大概是片头片尾发射火箭的创意吧
Santorini,看过,推荐,2020-02-25 14:44:11,0,剧情其实没多棒，但两位女演员值得加一星
賴床不起。,看过,推荐,2020-02-23 01:24:50,0,七十多岁的小百合阿姨眼里一直有光～特别想知道跳伞那段两人是真跳吗？   喜欢一个细节：敲儿子房门时颤抖的手指……PS.啊啊啊啊！光妹好美！
raVen,看过,还行,2020-02-28 16:14:31,0,天海女王台上蹦跳起来跟十几岁没两样。室毅表现不错。最后的室毅和火箭是亮点。吉永小百合婚礼上某种程度应该说不，这是我自己的旅行，凭什么让你参与呢。
Makisoyo,看过,力荐,2019-11-03 21:22:13,2,好几个点都想哭。最后那句对田中说的话就像是对大家说的。あなたにもきっといい出会いがあるから。天海佑希太美了。小百合阿姨太有气质了。光妹耳环真好看。
毛毛毛男,看过,还行,2020-02-23 20:31:08,0,一幕幕温情中透露出的人生哲理，没有美版好。
JulyChan,看过,2020-03-02 19:38:22, ,0,当你开始敞开怀抱接受死亡，你就可以化为风，化为鸟，化为世间生灵和万物。如果遗愿清单不以死亡为前提而调转个顺序，就成了“胡思乱想”或者“浪费生命”，这可真是生命的讽刺啊。
邵禹升,看过,力荐,2020-03-07 21:48:06,0,"《遗愿清单》被翻拍是可以预想的到的。但我却万万没想到日本的这次翻拍，让我的喜欢超越了原版……吉永小百合老师在这样的年龄居然还是如此优雅，故事的每个遗愿都是那么让人喜爱，流下热泪！性别转换，男性换成女性，加入大部分柔情，家庭部分加重，这故事极度暖心！超级棒！！"
人间仙子不如我,看过,很差,2020-03-02 20:32:45,1,小百合奶奶的表演真的很乏味，怎么演唱会跳舞，吃冰淇淋，跳伞，结婚都能一个样啊！家庭主妇也不应该是这样的呀！我的梦想就是做个家庭主妇，但肯定还是个跳伞会被吓到，吃冰淇淋会被凉到，跳舞会被自己迷到的正常人类～  导演的画面也很诡异，十字架都插进爷爷脑袋里了～不过开心的是我光依旧很美很优秀，么么哒
烟视媚行,看过,还行,2020-03-05 00:11:27,0,两个女主都是我喜欢的，吉永小百合即使已经七十五岁，依然恬静温婉的像个美少女，天海女王走路有风，真是绰约多姿让人看不厌。另外还有室毅，小光妹和贤人也都表现很好。没看过老杰克那部原版的，故事不算太出彩，但也看的很舒服。
麻绳,看过,还行,2020-02-28 17:55:27,0,越往后越矫情，只是靠吉永小百合和天海佑希的演技来撑。看到最后出演员表才想起来那个小白脸是贺来贤人。
左子楚,看过,还行,2020-02-29 11:06:01,0,女性角度应该比原版更细腻，可能受片长影响，人物关系转变太快，无法代入角色。如果主角不是有钱人，只拍俩普通人的list可能更容易引起共鸣，但普通人怎么完成不可实现的愿望呢，所以还得有钱。
意义不明,看过,还行,2020-02-25 21:48:23,0,老牌女演员的高光时刻
请保持高冷,看过,推荐,2020-02-24 10:03:46,0,人文关怀
紫,看过,还行,2020-03-07 06:07:44,0,强行煽情，社长大人绝对是女人的楷模，刚柔并济，即使离开也潇潇洒洒。主妇就是女人的反面教材，大概明白日本为什么那么多家里蹲了，反正饿不死，家有“贤妻良母”呢，另想吐槽一下主妇阿姨的无辜小白兔眼神太让人出戏了，还活在昭和呢。。
ががばば,看过,推荐,2020-02-23 15:36:29,1,发现是翻拍之后本来打算随便快进着看一下，但没想到翻拍得挺不错的，两大女主演得可太好了。另外，谁又会不喜欢光妹呢
五色石南叶,看过,还行,2020-03-08 19:13:11,0,2.5/5 演技都很好，剧本和三观走向碎到渣渣。
Silas,看过,还行,2020-03-03 23:43:48,0,我说怎么看着这么熟悉，还真的是bucket list啊
野人,看过,力荐,2020-03-01 22:46:21,0,了不起的改编，只保留了原著的内核，过程完全不一样，完全是另一部电影，👍
梦之安魂曲,看过,还行,2020-02-23 15:59:27,0,是一部有趣，接地气的合格翻拍片。满岛光还是那么好看啊！
𝚁𝚊𝚔𝚞𝚢𝚘𝚞,看过,还行,2020-02-23 23:55:20,0,死之前有幸遇到了和自己云泥之别的名流也是不错的
阿西,看过,还行,2020-02-25 01:06:17,1,呀！钱真的能带来快乐呀，常规煽情套路！
撞墙,看过,推荐,2020-02-23 09:24:25,0,棒！
