用户,是否看过,评分,评论时间,有用数,评论
Lexlo,看过,还行,2020-02-27 08:50:21,9,三星半吧，诺米梅兰特果然是入木三分的情感细腻一双深情能风卷残云般的把人的注意力全部转移。很久没看到一部这么纯粹的情色文艺片，法国女演员纯粹的不羞于展现自己身体的美感华丽带着优雅，刚好去年《燃烧女子的肖像》前上的且相似点都用一个物件作为情感联结的羁绊引出爱而不得的挣扎，但是总会被她的灵魂和渴望所打动，很棒
小溪笑嘻嘻,看过,较差,2020-02-29 15:17:29,6,对不起，看到老公要给他们的孩子取名小皮埃尔的时候我快吐了...虽然刚被女人在床上的眼泪感动到。
糖罐子,看过,还行,2020-02-27 21:00:09,6,特别美，但特别无聊。一个电影，兼具了古典，法国，摄影，浪荡子，美女，美好的肉体，阿尔及利亚而让人觉得无聊，也很神奇啊，不管描绘的性取向如何，情感关系如何，平庸就是平庸。但糯米妹子真是太美了。。。
oh la la,看过,还行,2020-03-01 19:29:47,3,什么叫巴黎女人，看完此片就明白了。本片履行了不露点东西就不算法国文艺片宗旨，光与影调度中法式情调弥漫其中，让你忘记这算几角恋，谁有给谁带了绿帽子，谁又爱上谁。服装构图拍摄都很唯美配上法语对白就如聆听一首关于爱情的香颂
赵卫卫,看过,还行,2020-02-25 22:27:08,11,一个忍辱的男人，成全了一对风流男女。
大武妇,看过,推荐,2019-09-23 02:14:16,119,下了个俄语配音版，很无力很穿越........反正衣服就没怎么正经穿好过，果然没有哪个法国女演员会羞于展示美好的肉体.....嗯欣赏！糯米居然在《燃烧女子的肖像》之前，就在这里搅过姬了！！意外惊喜╰(*°▽°*)╯
Hey Vega,看过,还行,2020-02-29 02:26:40,4,谢谢谢谢，代到了，糯米的肉体简直就是流动的盛宴，好馋好饿，太了不起了，你就是现代阿芙罗狄忒。
我呼吸的空气,看过,还行,2020-03-08 17:02:11,0,有几段逼仄的楼道的戏配上电子乐，印象深刻。很French.
阿尔法,看过,还行,2020-02-28 19:15:37,2,及时行乐，男女皆如此！
vivi,看过,较差,2020-02-29 00:09:52,8,这。。脱得好像很不值
飞侠式拼搏,看过,较差,2020-03-02 11:57:14,7,之所以看这部影片，还不是因为《燃烧女子的肖像》中的女主诺米·梅兰特。
