用户,是否看过,评分,评论时间,有用数,评论
派翠克,看过,较差,2019-06-24 11:18:56,207,本来故事在吕克贝松最近的几部电影来看已经算是不错了，尤其后半段还算是有趣。但我这人最受不了各种显而易见的bug的：87年的苏联普通家庭用笔记本电脑连着wifi上网登记注册当兵？？？90年已经开始用体积这么小的手机了？？还USB插口？？U盘？？？这是哪个平行宇宙的科技大爆发？？？
_witch2,看过,很差,2019-06-21 08:13:42,61,我服了，吕克贝松现在堕落的和吴宇森一个德性了，先不说故事又多稀烂拖沓无聊，开场快一个小时好不容易等来第一场动作戏，结果剪辑中庸疲软的一塌糊涂，这素材拿给我剪都能剪的比这好………………难怪连宣传都不宣传，片方自己心里都有逼数
张咏轩Wayne®,看过,较差,2019-09-11 13:51:53,48,两个小时真是煎熬，原本一个小时能说完的故事，导演玩反转和非线性叙事玩的不亦乐乎，不仅磨磨叽叽，还特别招人厌烦，类似《红雀》的红色间谍故事，在女主安娜的身份背景上一直兜圈子搞玩味，是超模也是杀手，牺牲了流畅的讲故事手法，换来支离破碎的形式主义，动作戏少而糙，逻辑bug遍地都是，开了挂的女主，长了眼的子弹，还有那些与时代不符的科技运用，廉价反转，无意义闪回，深怕观众不知道，结构玩法实在蠢，女主周旋两男一女之间，杀人不是重点，被欲望自由抢占了先机，吕克贝松真堕落，像交出一张学生作业，时代在更迭，技法在倒退，难怪自己的电影公司亏损到被收购，该！★★
桃桃林林,看过,还行,2019-08-07 18:05:40,97,吕克贝松实在是……女主一边美一边杀人是唯一看点吧，各种硬反转也是够了。
掉线,看过,还行,2019-09-14 02:12:21,70,【C+】吕克贝松类型片功底还是硬，各种流畅的摇镜和剪辑看的太舒服了。选女演员的眼光也是一如既往的好，虽然Sasha Luss全程面瘫，但身段和气质实在是迷人。就是这个剧本真是计中计中计中计的没有必要，转几个弯是高智商，转好几个弯只觉得扯淡。看到安娜前后嘴吻两国特工的镜头，我爆发出杠铃般的笑声。（PS.全程脑内弹幕，超模这么薄脆的身材，根本打不动人的吧）
黄信滚,看过,还行,2019-06-26 00:32:09,48,片子本身质量两分半撑死，好好一题材拍得太乏味了，看得味同嚼蜡如坐针毡。叙事结构和反转勉强加回一点分数。
人类学科研究员,看过,还行,2019-09-16 02:27:33,48,套娃叙述，吕克贝松老了。以及为何他那么执着于优盘？
SebMia,看过,还行,2019-09-24 23:36:06,53,以安娜的身材和颜值，不来中国当网红可惜了。无需动脑，不用杀人，对着镜头扭一扭，夏威夷别墅秒到手～7/10
谢谢你们的鱼,看过,较差,2019-09-11 18:52:14,24,吕克·贝松还要拍几部电影证明自己是一个傻逼？We already know，ok？是当所有人没有看过《红雀》和《原子杀姬》吗？对前妻米拉过于思念以至于想找了一个替代品？最可怕的还是这种明明俗到骨髓里面还要打肿脸装cool的片子了！
外出偷狗,看过,还行,2019-09-08 23:26:43,37,当然无法理解吕克贝松为什么9012年还在拍名模杀手，但有对比就有伤害，真模秒杀红雀，不亚于Lucy，或者还能给黑寡妇点灵感。尽管Bug奇多（老式笔记本电脑已经有WiFi了）、时间前后跳跃奇多、反反转转奇多，但整体剧情和观感都要好过<基努里维斯带狗III>。
嘟嘟熊之父,看过,较差,2019-09-11 19:14:35,24,吕克贝松改行了，现在是苏芒的接班人。
与碟私奔,看过,推荐,2019-09-10 23:48:52,28,所谓螳螂捕蝉，步步紧逼的节奏，剧情的回闪推翻刚刚以为的故事，在“危险不会提前给你发出警告”的信条下，一切皆有可能，苏联（俄罗斯）美国从来就没有停止过彼此的渗透和反渗透，貌似无辜问题女孩的自我救赎之路其实就是一种“国家利益”的权衡所谓自由只能靠自己去争取和付出。电影干净利索符合导演的风格，可能这种没有什么拖泥带水再加上养眼的美丽模特的背景才是电影好看和过瘾的提升空间吧，这个90后女孩子演绎的自主独立坚强和聪明是好莱坞电影所塑造不出来的，也只有这个俄罗斯的女孩子看着更本色和真实。
小小农,看过,力荐,2019-10-04 21:30:46,3,戏剧来源于生活，电影照进了现实，然后，你最好还能举一反三以此类推，听出讲故事人的弦外之音，接受你不愿相信的那些。山姆大叔有实力守规则，而且很温柔，所以吕克贝松敢调戏，甚至意淫人家徒有其表，这个显然不厚道。至于战斗民族，吕克贝松似乎也挺懂的，他们喜欢膨松剂就成人之美嘛，给面子又不会缺斤短两。KGB背景，美苏，假想的硝烟看起来挺像回事儿的，关键是养眼的安娜，她没消失在《杀死伊芙》里的科莫的影子里。说的还是自由的事儿，将军的棋子也好，倒戈的子弹也罢，女主就是一条想要自由呼吸的鱼，在权力的泥潭里，鱼戏泥潭间，鱼戏泥潭东，鱼戏泥潭西，最后摆脱了这肮脏的游戏。信用为负的极权制度满目疮痍，这个表现得还算生动。另外，女主的身份很有意思，从来都不是普通人，不是普通人家里的孩子。
谢飞导演,看过,推荐,2019-12-18 17:09:51,16,法国导演吕克贝松的商业片，拍的不错。运用时空交错、倒叙、前闪等手法把一个俄国女特工的故事讲得非常引人，普世的争自由主题也鲜明、自然。在广州回北京的海航飞机上观看，是电影未来以网络营销为主的多种流媒体发行方式的很好事例。
Mathilda,看过,推荐,2019-09-10 23:28:15,25,太可惜了 anna和maud的情感就这么被一笔带过了！女主有点点像安雅（腿这么长，摔下来应该会折吧
把噗,看过,较差,2019-09-11 10:10:50,23,不要有期待，注意那些低级bug，忍受超模。
托尼·王大拿,看过,较差,2019-10-09 21:51:17,7,不停的倒叙展示出放肆的不加节制，或许更是创作力大幅下滑的有心无力。动作戏剪的还成，但单镜头稍长就看出了些许笨拙。
frozenmoon,看过,较差,2019-10-09 22:54:04,12,这都是啥啊，到处都是常识错误，还有那些过时的排演式的不可能的打斗。看见笔记本电脑注册当兵的时候我都懵了，到底是哪年？发生了神马？
仿真男孩哪吒,看过,还行,2019-10-04 02:48:24,21,都9012年了，剧本还可以土到怀疑吕克贝松被冷冻了二十年刚醒过来提笔写的。
老袁,看过,推荐,2019-09-12 10:46:13,32,作为吕克贝松这一部不算佳作，但观众没什么好挑剔的。腿长一米八的超模游走于俄美两大帅哥，还有一个同样肚脐底下全是腿的女朋友。这些都不够看，非要盯着逻辑问题不放，实在是买椟还珠。
文森特九六,看过,还行,2019-06-23 20:36:49,11,围绕“疾速”系列崛起的西方华丽硬派动作类型复兴，“拍摄美国电影的法国人”吕克·贝松难免也会参一脚，依旧是建立在无数自作聪明的Bug级小反转之上的短暂快感，无法同雷奇与史塔赫斯基媲美的格斗戏也在剪辑速度和场景选择上得到了最优的平衡缓冲，非常塑料的流行电影，却也是“欧罗巴”近年来观赏性最为舒适的一部了。
zhang 2nd,看过,推荐,2019-09-14 11:24:57,12,男帅女靓，吕克贝松还是那个爱做梦单纯善良的boy
