用户,是否看过,评分,评论时间,有用数,评论
尧,看过,较差,2019-10-21 11:58:15,1,没接触过海贼王TV版只知道那句有名的台词“我是要成为海贼王的男人”单就本剧场版来说不好看正好也断了我再追一部民工漫的心了死火海只追了火还好完结了前前后后足有10年时间真的再没有心力追另一部大长篇了何况现在来看这种jump系少年热血根本不是我的菜如果当时不是因为火影音乐太棒我也追不下去从剧场版来看海贼王的音乐比火影差了不是一档两档全剧没有出彩的BGM烘托人物配音全靠吼中间打戏多的审美疲劳又么有像巨人那样的镜头调度和动作编排就靠光爆炸烟尘灰土来展现战斗场面异常激烈那个吃了恶魔果实的人开始和船合体变身高达的时候我就有一种隐隐的不妙之感举办的这什么航海博览会看起来就很山寨明显就是放一个不知道存在与否的诱饵让大家来争夺其实是为了方便把他们聚集起来一网打尽女帝很有气场就是出场戏份太少萌萌的乔巴也是寥寥的几个镜头就
Sarah,看过,很差,2019-10-18 16:57:11,7,电影院里睡觉好吵
豆友203458330,看过,很差,2019-10-19 23:39:29,8,催眠效果特别好
梵目,看过,还行,2020-01-02 00:26:28,0,热血不减
G-Class,看过,推荐,2019-10-18 23:57:50,1,实力等级越来越乱😂
认想,看过,力荐,2019-08-21 18:38:09,6,"罗 萨博.. 海贼 海军 革命军 七武海 上将 出动！
鹰眼 助力之斩！女帝 助力之踢！
电影版中最强的对手，电影版中最强的路飞，很精采"
炫,看过,力荐,2019-08-26 21:59:48,7,剧场版成功让斯摩格从连跪中将晋升为五五开中将。布鲁克、山治、萨博，管他比自己强还是弱，五五开就完事了！
Black Tulip,看过,还行,2019-10-24 14:12:53,0,海贼王版“复联”。这个IP了解一下。啥时候译名改为“航海王”了？😅
亲爱的猥琐猪,看过,推荐,2019-10-19 23:21:48,1,和《龙珠超·布罗利》一样，从头打到尾，和龙珠不断变身的单人对抗、《小英雄》丰富的打斗方式不同，海贼还是着力于场面和热闹，非常壮观。烟鬼戏份好多顺带日奈和达斯琪也出镜颇多，真是一脸主角相；虽然索隆斩陨石，罗宾旗袍女帝飞奔医生救场山治飞踢，不过全场最佳辅助当然是乌索普；萨博登场和最后那梦幻的ASL“重聚”也算一个彩蛋吧。这个反派巴雷特，整个就是行走的JO梗啊，“罗杰我不做人啦！”“木大木大木大木大，你们都太贫弱啦！”“真是High到不行啊！”，但怎么又犯了巨大化+对拳站左边两大忌，当然会被路飞欧拉欧拉欧拉啊。最后的歌还是很不错的。片尾那段看似多余的关于拉夫德鲁永久指针沉入大海的彩蛋，不知道有没有什么伏笔。话说把“海贼，海军，革命军”翻译成“航海家，警察，正义联盟”，真是黑色幽默啊。
哈天,看过,力荐,2019-10-20 13:43:56,3,从头爽到尾……永远年轻 永远热泪盈眶
阿子儿,看过,2019-10-24 10:13:18, ,0,全明星阵容的从头打到尾。为什么我没看到艾斯！
Tseraph,看过,还行,2019-10-20 14:26:55,1,大乱斗虽然热闹，但我还是想看个好好讲故事的剧场版
似锦。,看过,推荐,2019-10-28 21:14:13,0,抱歉我没有追下去。
朱熠,看过,较差,2019-10-25 22:53:32,0,作为海贼脑残粉都觉得打得我头疼
芥末蘸酱,看过,还行,2019-11-03 20:15:38,0,嚣张爆炸得连哥斯拉都出来了！
人生哪能如初见,看过,推荐,2019-08-14 19:45:41,5,第一次在异国他乡看的电影。 感觉很奇妙， 就是播放的时候明显是1.2倍速的，有些画面意犹未尽就一闪而过了。 剧情相对薄弱，但是打群架确实精彩。
forgottenchild,看过,力荐,2019-10-17 23:30:22,7,无语，剧场版至今以来最佳，最后时刻并肩作战感动到眼泪直流。
妍春,看过,还行,2019-10-23 23:12:00,0,字幕真是和谐呀，航海王替代海贼王已经是好几年前的事了，海军译成警察、CipherPol译成西匹就十足业余了，译制公司的业务不精令人出戏又咋舌。影片嘛，儿戏得很，堆了许多人物，却还是不会讲故事。剧情与半年前的《龙珠超：布罗利》百般相似，可效果就是一根筋的杂烩饭，连日常消遣都算不太上，片尾的罗宾崩了容颜更可见制作的浮躁与手脚束缚。
琧婯,看过,还行,2020-01-07 14:36:23,0,人物众多，打得有点乱
犯怵中的嫌疑喵,看过,较差,2019-10-24 17:58:50,0,怎么到7.9的。。我不是海贼迷wave
草原上的咩咩羊,看过,力荐,2019-10-19 01:52:08,0,为情怀和热爱打五分没毛病，深夜场应该是电影院里最老的没跑了。
刘小流,看过,还行,2019-10-19 15:48:29,4,🙄让人觉都睡不好
拇指潇潇,看过,较差,2019-10-20 20:35:43,3,我爱海贼王 可是这个电影 看得我很煎熬 就是消费情怀 一些喜欢的人物聚集在一起 不停得出场 感觉很燃 可是看看情节不一点没有的 哎…
腐小姐,看过,推荐,2019-10-18 16:12:22,3,去看吧，我只眼熟主角团也没有看不懂，当然，彩蛋是看不懂的哈哈哈哈
WIKI魏,看过,还行,2020-01-18 22:56:02,0,20分钟就开始混战。出场名单（排名不分先后）相当有看头：艾斯3min、小丑巴基、女帝、萨博、鹰眼、七武海3人（巴基、波雅·汉库克、乔拉可尔·米霍克）、Mr.3、极恶的世代看到好像有9个（海贼世界超新星11人+海贼黑胡子）（尤斯塔斯·基德、红心海盗团船长特拉法尔加·罗、波妮海贼团船长大胃女乔艾莉·波妮、破戒僧海贼团船长怪僧乌尔基、火焰坦克海贼团船长卡彭·贝基、原型来自中国海贼徐亚保的广播海贼团船长斯库拉奇曼·阿普、霍金斯海贼团船长巴兹尔·霍金斯、德雷克海贼团堕落海军少将X·德雷克）#收韭菜的剧场版#
陆冠均,看过,推荐,2019-10-18 23:26:11,2,情怀大过天
岁月无痕,看过,还行,2020-01-01 23:48:16,0,出场人物众多，导致每个人只能一两个镜头，为数不多优点也是从头燃到尾，只是反派过于酱油，前面牛逼了半天，结果被轻而易举打败了。
心有所喜,看过,较差,2019-10-19 18:07:33,5,粉丝向，对路人不友好，从头打到尾，看困了。
国王KING,看过,推荐,2020-01-10 10:45:55,0,诚意满满的剧场版，精彩绝伦的大乱斗
齐天大兜,看过,很差,2019-10-18 01:14:07,10,欠你的电影票，还了。
红叶@提不起劲,看过,还行,2020-01-28 01:23:07,0,这种片子拍到后来主角们慢慢暗淡下来
