用户,是否看过,评分,评论时间,有用数,评论
John Coey,看过,2019-05-17 13:29:50, ,87,講真，和2相比就沒有那麼喜歡這部，幾個笑點我是笑不出來。這裡確定了男主是白俄羅斯馬菲亞遺孤，並且跟著組織有肉吃的設定對個體戶來說基本是坑爹。基努打槍很認真，而且丟了一手印第安斧。華人結社追殺wick那句我們發財去是最莫名喜感的部分。
银瓶铁骑,看过,力荐,2019-05-18 13:30:21,227,比起西装翩翩的基努里维斯更喜欢管理局的小姐姐们：红唇 黑眉 大花臂，粉衫 高跟 小黑裙❛ڡ❛让人浮想到猎天使魔女👼
张小北,看过,推荐,2019-07-13 21:47:44,66,基努作为一个演员，真的是命运眷顾啊！很少有演员能够在职业生涯中创造两个影史经典的银幕形象的，而他做到了！黑客帝国和疾速系列，都在特定类型之中做到了极致。从第一部开始，看完三部曲后，我觉得导演和这个团队都太清楚他们的目标观众要什么了。都是嗑药，他们是一次给你捅到极乐世界去……（我没给 5 星是因为我还没机会在影院看只是看的下载）
啊看到没电脑,看过,力荐,2019-05-16 20:47:20,52,如果真的一部强过一部的话那可以先给五星。 / 5月16号香港提前一天上映，早场。真的比前两部要强，详细看长评。
淋,看过,力荐,2019-05-20 21:21:50,26,世界观稳稳的立住了，一脉相承的绝佳气质，格局展开后越铺越规整，剧情弱反倒是减轻观影过程中不必要的思维负担，对所有人都很友好年度动作佳片！真男人取你狗命就一句话不需要玩什么新花样！选角上比第二部更好一些吧，没那么刻意的耍酷，俩小时超值！~PS：基努我可以一辈子！
汽车大师,看过,力荐,2019-07-10 00:59:13,8,跑上来的倒计时银翼纽约城+飞刀马厩摩托直接看湿了，这系列每一集间美术层面上质的飞跃甚至盖过动作场景的升级
匡匡,看过,还行,2019-07-13 21:36:22,39,我为什么啃着鸡翅喝着小酒看得高高兴兴，可见内心深藏一颗中二魂。作为杀手童话，跟丹叔的《伸冤人》比起来 John Wick 这个人物越来越扁平了，接近于打斗人偶。枪战戏都漂亮，近身肉搏都没看头，男神真的打不动了，动作迟缓滞重，抱团滚在一起的时候甚至滑稽感。基努那个招牌的内八走姿，年轻时看别有一番风味，怎一个帅字形容，上了年纪不知为啥总有蹒跚感。除了一个还算有趣的架空世界观，几乎不存在文戏一说，就是一群莫名其妙爱搞事情的人，为了一些莫名其妙的理由杀来杀去，景搭得也假，不是夜间戏就是室内戏，画面老是脏脏的。但是如果有下一部，我估计还是会准时收看吧。[捂脸]
柯里昂,看过,推荐,2019-07-10 11:00:32,62,还不预购Cyberpunk 2077等菜呢？
Reinhardt,看过,很差,2019-05-29 01:12:28,30,观影后迷思——我为什么要浪费90人民币的票钱和两个多钟的生命？？？
二十二岛主,看过,推荐,2019-05-24 13:44:33,38,电影节间隙插空在院线看了这部，意外地好看与惊喜，像图书馆、摩托车、尖刺战等几场戏甚至令人瞠目结舌，印象中10年代在《突袭》之后还没看到过如此酣畅和具有爆发力的动作电影。这一系列本身也颇为玄妙，不仅美学风格能够保持高度统一，还能不断开拓出新的创意。至于有些生拼硬凑的故事，想必也没有太多人在意了。
幸运+++,看过,推荐,2019-05-19 05:31:46,29,He shot my dog！I get it. 千万不能惹爱狗人士的狗狗。这部喜剧成分更多了，尤其那个光头日本人太搞笑了。打戏还是整个电影的主体，John战斗力太强了，图书馆那场电影院里反应最大，血腥暴力还有点好笑，看的非常爽。估计下集就开始打high table了，high table居然是在沙漠的阿拉伯人。自己英语还是不太行，有的口音很重的就听不懂了，还好整体不影响。（190806，二刷，期待第四部！）
昭和惊弓鸟,看过,推荐,2019-05-19 14:15:01,29,这个系列可谓首开好莱坞一镜到底完整展现动作全局的先河，尤其充分利用环境来与动作进行画面甚至剧本层面的互动，场面调度极佳。开场逃亡倒计时异常惊喜，紧张情绪的营造极具张力，甚至把结尾的酒店大战都给抢了风头；不过在经过近八成篇幅的动作厮杀后，结尾冗长的拳脚刀具搏斗难免显得单调乏味。至于那为人乐道的仪式性的江湖规矩也在本集中有更多的描绘，而接下来的第四部在经历了拳脚枪战满溢的三部曲后，能否有新突破甚至构建杀手宇宙，就拭目以待了。PS：john在这一集简直是不死之身啊......
朴不程,看过,推荐,2019-07-11 17:04:07,15,早说了一币通关的就是屌。见人就杀，杀人即死，干净利落。7.9
外出偷狗,看过,较差,2019-05-18 22:52:58,41,主角肉体松散、下巴繁多。主打大量暴力动作场面，效果却好像没给动作指导发钱，令人屡屡笑场。老角色划着水全都要坚持到下一集，新登场的人物各个都撑不起影片试图为他们建立的气场。剧情？什么剧情？
thenew,看过,2019-10-06 23:21:25, ,0,感觉已经是超级英雄漫画片 还是想看完 | 20191006 我错了 这不是漫画片 这是对特技演员和视觉组深沉的兄弟爱 自媒体瞎吹什么基努李维你们没资格！leave 基努李维 alone！这样才会有这么不完美纯度却很高的好片
郭连凯,看过,推荐,2019-06-03 05:33:33,14,猫党和狗党的终极对决，John Wick教你如何拍动作片系列作品第三部，合理运用场景、在多人混战时尽量少的做剪辑，在双人对战时用精确的剪辑卡出节奏感。不认同的地方有冷暖色混搭的霓虹色（too much smoke！），还有强搭出来又很浪费时间的所谓世界观（就是在说哈利·贝瑞，不如她的三条狗有看头）。
有心打扰,看过,还行,2019-07-11 11:42:23,51,当你赤手空拳面对约翰·威克的时候，他还不是无敌的，但如果你拿起刀或拿起枪面对他，那你必死无疑。
kylegun,看过,力荐,2019-08-16 23:17:54,7,硬皮书折颈拆下巴，马蹄杀飞刀刺猬人，印尼忍者入侵俄罗斯芭蕾大厅，卡萨布兰卡鸳鸯狗粮百人狙，酒店武器升级爆血皮厚喽啰，不过最后功夫决战变成大型粉丝见面会不太好吧——期待下集！
非编码Postdoc,看过,较差,2019-05-17 10:28:35,25,纯暴力血腥，满电影院的美国人民都一本满足，跟了嗑药一样high...只有我一个人觉得打斗场面极其不流畅、没有节奏感嘛？俩小时真人CS即视感，爆头爆头爆头...没看过前作，真的觉得好无聊
亵渎电影,看过,还行,2019-09-02 03:28:09,41,基努·里维斯的身手笨拙的像一只大马猴，全程靠着主角光环护体，子弹和尖刀都长了眼睛伤不到他，只见他跟一群武行吃力的套招，再一次神奇的干死了所有人。这种赤裸裸的B级片作为商品，简单粗暴的像AV一样，不断在视觉上刺激观众，给观众做感官的生理按摩，观众只要被爽到了就算光荣的完成了它的类型任务。这个类型能大火，除了R级的简单直接，全程真人CS爆头游戏，它整体的叙事节奏确实也很工整不错。
陈永仁,看过,力荐,2019-05-17 12:31:48,16,帅死了。图书馆那个点子不错，玻璃战跟 2 有点儿重复。但是还是好看
