用户,是否看过,评分,评论时间,有用数,评论
kulilin,看过,推荐,2019-12-24 10:40:47,6,制片人马丁。公寓里放的是Madonna的《Rain》
飞侠式拼搏,看过,推荐,2019-12-30 10:02:43,10,"不停地吵闹、法克，嘈杂的配乐以及那让人厌烦的门铃声，以致于看完后脑中想的第一个问题居然是想知道全片到底有多少个法克。
虽然很狂躁疯癫，一直喋喋不休，但随着故事发展，加上节奏的紧凑，越到后面就越精彩，越让人着迷上瘾，慢慢也就适应了这些吵闹、混乱了。
结局眼看男主就要翻身了，结果却是“崩”的一声，真的太有讽刺意味了。欲望的终点是死亡，石头和赌球，贪婪和欲望，一切都因这块从一开始就染了血，带着诅咒的石头而起。"
烤芬,看过,力荐,2019-12-18 08:00:07,4,"惊喜！是那种轻而易举带给观众身体反应的电影，甚至在某个时刻将影厅变成赌场，空气中的电子都啪啪响。工作日下午竟爆满，所有人都像坐过山车上时而后仰时而向前，A24票房翻身仗了。类型叙事之外是与全球资本生态点点相连的racialized bodies，宝石-血肉，加内特简直全片题眼。以曼岛为土壤也许永远拍不出慢电影，角色在哪个街区活动就带着哪个街区的节奏，影像、声音、剧情、心理的节奏全数复刻四十几街暴躁地摩肩接踵，在狂喜与挫败中都大步流星——当然也不会有平静单一和谐的声景，必须五人以上同时大呼小叫窗外还有救护车呼啸而过。充分颗粒感，一查果然35mm，我也原教旨一回，桑德勒这次扮相就不能digital。总的而言，manipulative, but neither condescending nor pretensious."
YiQiao,看过,推荐,2019-12-29 12:12:22,5,"折磨了近两个小时 最后结局突然爽炸 那些因暴戾和争吵消减的多义性反而随之被彻底摧毁后而喷薄//在时间和空间上都做了极致的压缩 其实还包括对白 毫无喘息机会 字面意义上的令人头疼//每一点微弱的偏差都带来某种质感厚重的宿命感//如果是在银幕看 狂躁感绝对不亚于卡萨维茨（毕竟也没看过斯派克李和斯科塞斯的银幕//""holy shit, i'm gonna cum."""
狮与羊,看过,推荐,2019-12-25 04:17:41,5,1.《好时光》全程大特写话痨看的真难受，这一部景别正常回来，观感好上不少。2.但故事老实说没有多大惊喜，疯癫得有些模式化，不过结局还过得去。3.很大程度上还是因为凯蜜情怀所以有加分；其实从故事上考虑KG那条线也是可以多开发一些的，毕竟他才是这部片里唯一钟爱彩钻的人，他拿了彩钻后消失的那大半个小时总感觉影片整体动机不足。
Joker,看过,推荐,2020-02-15 18:53:30,5,尽管它是那样的五彩斑斓晶莹剔透，沉睡在原钻中的宇宙永远不会苏醒，再多的凝视也是无济于事。就算他是那么的声嘶力竭泪如雨下，逃避在追问中的灵魂永远不会回答，再多的转机也是白忙一场。曾经高不可攀的信仰，如今已经无法告诫疲惫的灵魂。从前势不可挡的勇士，此刻已经不能无视内心的恐慌。说来说去原钻不过是中年危机的另一种遮挡。萨弗迪兄弟总算是找准了节奏，不再像《好时光》那么零散，叙事逻辑也有了：大球星和小老板的中年危机物语。一个渴望人生逆转，一个渴望卷土重来，而原钻恰好成为了两个失意老男孩的精神媒介。霍华德欺上瞒下自以为尽在掌握，可结果那块原石在他手里只待了几分钟而已，他一无所有，又一无所知，可怜又可悲。亚当桑德勒这次真是太像样了，狡猾，贪婪，无助，疯癫，表现的面面俱到，不简单。配乐不伦不类的，其他都不错。
翻滚吧！蛋堡,看过,力荐,2019-12-23 02:28:09,4,萨弗迪又超神了，不仅连续创造出让演员脱胎换骨的奇迹，更抛弃了《好时光》的粗粝手持美学，拍出了一部金钱与欲望的f**king crazy porn！
顗礼,看过,力荐,2020-01-10 20:58:29,3,虚实交织的NBA往事，银河映像式宿命论与精妙闲笔，黑色电影与燃向热血的混合变体，焦躁不安的情绪与迷幻的电子乐，某种意义上的神秘主义与解构主义；切入口选的太美妙，被原钻之魔力牵引的究竟是KG还是Howard本人呢？总之，嗨爽过后遁入虚无
skcusnabuod,看过,力荐,2019-12-17 17:05:05,2,what a ride!
拜金沃斯学者,看过,力荐,2019-12-27 03:47:50,3,赌徒近身观察。眼看着主角一顿hustle猛如虎，拿身家性命押中不确定性的大脑奖励实在是太高了，不可能再为别的事上心了。有意思的是那个情人的角色，可以说是直男眼里完美的天使了，这样的天使应当得到命运的奖励哈哈哈。开头一场戏太厉害了，把后面所有第一世界chaos都变成了更高级的嘲讽。
